"","term","gene"
"39","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C11ORF73"
"40","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C14ORF104"
"41","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C14ORF106"
"42","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C15ORF23"
"43","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C17ORF68"
"44","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C18ORF24"
"45","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C1ORF155"
"46","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C1ORF181"
"47","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C1ORF31"
"48","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C1QDC1"
"49","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C2ORF3"
"50","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C2ORF37"
"51","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C3ORF26"
"52","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C4ORF21"
"53","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C5ORF24"
"54","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C6ORF173/CUG2"
"55","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C6ORF75"
"56","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C8ORF30A"
"57","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C9ORF41"
"58","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C9ORF77"
"59","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CA2"
"60","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CABC1"
"61","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CARD11"
"62","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CASP8AP2"
"63","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CBFB"
"64","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CBLL1"
"65","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CBX1"
"66","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CBX5"
"67","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CCNA2"
"68","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CCNB2"
"69","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CCND1"
"70","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CCND2"
"71","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CCNE2"
"72","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CCT2"
"73","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CCT3"
"74","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CCT4"
"75","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CCT5"
"76","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CD2AP"
"77","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CD44"
"78","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CDC2"
"79","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CDC20"
"80","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CDC25C"
"81","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CDC6"
"82","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CDC7"
"83","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CDCA1"
"84","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CDCA4"
"85","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CDKN3"
"86","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CDO1"
"87","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CDT1"
"88","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CDV3"
"89","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CENPE"
"90","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CENPH"
"91","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CES1"
"92","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CETN3"
"93","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CFI"
"94","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CGI-09"
"95","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CGI-115"
"96","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CHAF1B"
"97","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CHEK1"
"98","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CHEK2"
"99","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CHTF18"
"100","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CIP29"
"101","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CKAP2"
"102","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CLDN2"
"103","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CLPX"
"104","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","C-MYC"
"105","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CNAP1"
"106","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CNN3"
"107","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CNNM3"
"108","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CNOT7"
"109","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CP110"
"110","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CPT1A"
"111","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CREB1"
"112","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CRIM1"
"113","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CRP"
"114","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CRYM"
"115","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CSPG6"
"116","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CSRP2"
"117","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CTBP2"
"118","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CTCF"
"119","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CTNNB1"
"120","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CTPS"
"121","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CUBN"
"122","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CYBRD1"
"123","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CYP2C18"
"124","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CYP2C9"
"125","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CYP3A43"
"126","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","CYP3A5"
"127","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DCC1"
"128","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DCK"
"129","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DCTD"
"130","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DDX1"
"131","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DDX21"
"132","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DDX5"
"133","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DEK"
"134","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DERPC"
"135","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DHFR"
"136","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DHX15"
"137","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DHX36"
"138","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DIAPH3"
"139","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DKFZP564K142"
"140","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DKFZP686A10121"
"141","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DLD"
"142","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DMD"
"143","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DNMT1"
"144","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DRG1"
"145","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","DTYMK"
"146","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","E2F1"
"147","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","E2F5"
"148","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ECT2"
"149","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EED"
"150","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EEF1D"
"151","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EEFSEC"
"152","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EGFR"
"153","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EHF"
"154","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EIF2A"
"155","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EIF2S1"
"156","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EIF2S2"
"157","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EIF2S3"
"158","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EIF3S10"
"159","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EIF3S5"
"160","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EIF3S6"
"161","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EIF3S6IP"
"162","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EIF4A1"
"163","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EIF5"
"164","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ELF2"
"165","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ENPP3"
"166","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EPHB2"
"167","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EPHB3"
"168","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EPHB4"
"169","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ERGIC1"
"170","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ERH"
"171","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ESRRG"
"172","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ETAA16"
"173","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EVL"
"174","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EXO1"
"175","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","EZH2"
"176","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FAM29A"
"177","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FAM82C"
"178","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FBL"
"179","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FBP1"
"180","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FBXO5"
"181","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FEN1"
"182","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FGD1"
"183","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FGF1"
"184","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FGFBP1"
"185","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FIGNL1"
"186","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FKBP3"
"187","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FKSG14"
"188","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ10154"
"189","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ11021"
"190","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ11171"
"191","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ11184"
"192","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ11506"
"193","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ13946"
"194","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ14668"
"195","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ20297"
"196","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ20534"
"197","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ21125"
"198","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ22624"
"199","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ25416"
"200","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ30655"
"201","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ30990"
"202","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ32363"
"203","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FLJ39743"
"204","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FOXM1"
"205","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FRAS1"
"206","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FSHPRH1"
"207","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","FZD1"
"208","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GART"
"209","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GCDH"
"210","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GCN5L2"
"211","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GCS1"
"212","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GEMIN4"
"213","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GFER"
"214","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GJB3"
"215","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GMPS"
"216","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GNAI3"
"217","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GNPNAT1"
"218","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GPIAP1"
"219","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GRSF1"
"220","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GRWD1"
"221","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GSG2"
"222","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GSTM1"
"223","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GTL3"
"224","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","GTPBP4"
"225","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","H2AFY"
"226","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","H2AFZ"
"227","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","H2-ALPHA"
"228","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HADHSC"
"229","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HAT1"
"230","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HBA2"
"231","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HBB"
"232","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HBXAP"
"233","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HCP1"
"234","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HDAC2"
"235","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HDCMA18P"
"236","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HDGF"
"237","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HELLS"
"238","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HEMGN"
"239","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HIST1H2AD"
"240","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HIST2H2BF"
"241","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HMGA2"
"242","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HMGB1"
"243","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HMGB2"
"244","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HMGB3"
"245","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HMGN1"
"246","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HMGN2"
"247","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HNRPAB"
"248","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HNRPR"
"249","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HRSP12"
"250","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HSCARG/NMRAL1"
"251","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HSF1"
"252","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","HSPA8"
"253","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","IDE"
"254","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","IFITM2"
"255","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","IKBKAP"
"256","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","ILF3"
"257","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","IMPA2"
"258","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","IMPDH2"
"259","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","INCENP"
"260","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","INVS"
"261","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","IPF1"
"262","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","IVD"
"263","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KCNE3"
"264","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KCNN4"
"265","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KCNQ1"
"266","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIAA0100"
"267","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIAA0101"
"268","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIAA0179"
"269","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIAA0859"
"270","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIAA0947"
"271","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIAA0971"
"272","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIAA0980"
"273","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIAA1008"
"274","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIAA1333/G2E3"
"275","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIAA1524"
"276","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIF18A"
"277","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIF20A"
"278","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIF22"
"279","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIF23"
"280","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIF5B"
"281","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KIFC1"
"282","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KNTC1"
"283","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","KPNA2"
"284","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LARP4"
"285","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LBR"
"286","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LIG1"
"287","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LIMD1"
"288","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LIPG"
"289","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LOC126917"
"290","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LOC201175"
"291","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LOC202051"
"292","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LOC203547"
"293","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LOC340286"
"294","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LOC387787"
"295","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LOC643836/ZFP62"
"296","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LOC644958"
"297","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LOC91461"
"298","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LPP"
"299","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LRAT"
"300","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LRIG1"
"301","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LSM2"
"302","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LSM5"
"303","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LUC7L"
"304","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","LYPLA1"
"305","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MATN2"
"306","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MATR3"
"307","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MBNL3"
"308","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MCM2"
"309","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MCM3"
"310","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MCM4"
"311","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MCM5"
"312","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MCM6"
"313","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MCM7"
"314","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MEIS2"
"315","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MELK"
"316","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MGC11266"
"317","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MKI67"
"318","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MRE11A"
"319","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MRPL1"
"320","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MRPL13"
"321","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MRPL3"
"322","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MRPS22"
"323","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MSH2"
"324","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MSH3"
"325","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","MSH6"
