type,Enzyme,gene,histone_modification_site
writer,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 5",EHMT1,"H3K9me2, H3K27me1, H1K25me1, H1K186me1"
writer,N-lysine methyltransferase SMYD2,SMYD2,H3K36me2
writer,PR domain zinc finger protein 2,PRDM2,H3K9me2
writer,Probable histone-lysine N-methyltransferase ASH1L,ASH1L,"H3K36me1, H3K36me2"
writer,Probable histone-lysine N-methyltransferase NSD2,WHSC1,"H3K36me3, H4K20me1, H4K20me3"
writer,SET and MYND domain-containing protein 3,SMYD3,H3K4me3
writer,Poly [ADP-ribose] polymerase 1,PARP1,"H2AK13ar, H2BK30ar, H3K27ar, H3K37ar, H4K16ar"
writer,E3 ubiquitin-protein ligase BRE1A,RNF20,H2BK120ub
writer,E3 ubiquitin-protein ligase BRE1B,RNF40,H2BK120ub
writer,E3 ubiquitin-protein ligase DTX3L,DTX3L,H4K91ub
writer,E3 ubiquitin-protein ligase HUWE1,HUWE1,
writer,E3 ubiquitin-protein ligase RBX1,RBX1,H2BK120ub
writer,E3 ubiquitin-protein ligase RING1,RING1,H2AK119ub
writer,E3 ubiquitin-protein ligase RING2,RNF2,"H2AK119ub, H2AK121ub"
writer,E3 ubiquitin-protein ligase RNF168,RNF168,
writer,E3 ubiquitin-protein ligase RNF8,RNF8,
writer,E3 ubiquitin-protein ligase UBR2,UBR2,
writer,E3 ubiquitin-protein ligase UHRF1,UHRF1,
writer,V(D)J recombination-activating protein 1,RAG1,
writer,Cyclin-dependent kinase 17,CDK17,
writer,Cyclin-dependent kinase 3,CDK3,
writer,Cyclin-dependent kinase 5,CDK5,
writer,Death-associated protein kinase 3,DAPK3,H3T11ph
writer,DNA-dependent protein kinase catalytic subunit,PRKDC,H2AS139ph
writer,Glycogen synthase kinase-3 beta,GSK3B,H1T10ph
writer,Inhibitor of nuclear factor kappa-B kinase subunit alpha,CHUK,H3S10ph
writer,LIM domain kinase 2,LIMK2,
writer,Microtubule-associated serine/threonine-protein kinase-like,MASTL,
writer,Mitogen-activated protein kinase kinase kinase 8,MAP3K8,H3S10ph
writer,Mitogen-activated protein kinase kinase kinase MLT,Unknown,H3S28ph
writer,Mitotic checkpoint serine/threonine-protein kinase BUB1,BUB1,H2AT120ph
writer,Protein kinase C beta type,PRKCB,H3T6ph
writer,Protein kinase C delta type,PRKCD,H3T45ph
writer,Ribosomal protein S6 kinase alpha-4,RPS6KA4,H3S28ph
writer,Ribosomal protein S6 kinase alpha-5,RPS6KA5,"H2AS1ph, H3S10ph, H3S28ph"
writer,Serine-protein kinase ATM,ATM,H2AS139ph
writer,Serine/threonine-protein kinase 10,STK10,
writer,Serine/threonine-protein kinase 12,AURKB,"H3S10ph, H3S6ph, H3S28ph"
writer,Serine/threonine-protein kinase 4,STK4,"H2BS14ph, H2AS139"
writer,Serine/threonine-protein kinase ATR,ATR,H2AS139ph
writer,Serine/threonine-protein kinase haspin,GSG2,H3T3ph
writer,Serine/threonine-protein kinase N1,PKN1,H3T11ph
writer,Serine/threonine-protein kinase Nek6,NEK6,
writer,Serine/threonine-protein kinase Nek9,NEK9,
writer,Serine/threonine-protein kinase PAK 2,PAK2,H3S10ph
writer,Serine/threonine-protein kinase tousled-like 1,TLK1,H3S10ph
writer,Tyrosine-protein kinase BAZ1B,BAZ1B,H2AY142ph
writer,Tyrosine-protein kinase JAK2,JAK2,H3Y41ph
erasers,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6,JMJD6,"H3R2me2, H4R3me1, H4R3me2"
erasers,Histone deacetylase 1,HDAC1,H3K56ac
erasers,Histone deacetylase 10,HDAC10,
erasers,Histone deacetylase 11,HDAC11,
erasers,Histone deacetylase 2,HDAC2,
erasers,Histone deacetylase 3,HDAC3,H3K4ac
erasers,Histone deacetylase 4,HDAC4,
erasers,Histone deacetylase 5,HDAC5,
erasers,Histone deacetylase 6,HDAC6,
erasers,Histone deacetylase 7,HDAC7,
erasers,Histone deacetylase 8,HDAC8,
erasers,Histone deacetylase 9,HDAC9,
erasers,NAD-dependent deacetylase sirtuin-1,SIRT1,"H4K16ac, H3K9ac, H1K25ac"
erasers,NAD-dependent deacetylase sirtuin-2,SIRT2,"H4K16ac, H3K56ac"
erasers,"NAD-dependent deacetylase sirtuin-3, mitochondrial",SIRT3,H3K56ac
erasers,NAD-dependent deacetylase sirtuin-6,SIRT6,"H3K9ac, H3K56ac"
erasers,Histone lysine demethylase PHF8,PHF8,"H3K9me2, H3K4me3, H4K20me1, H3K27me2"
erasers,Lysine-specific demethylase 2A,KDM2A,H3K36me2
erasers,Lysine-specific demethylase 2B,KDM2B,"H3K4me3, H3K36me2"
erasers,Lysine-specific demethylase 3A,KDM3A,"H3K9me1, H3K9me2"
erasers,Lysine-specific demethylase 3B,KDM3B,"H3K9me1, H3K9me2"
erasers,Lysine-specific demethylase 4A,KDM4A,"H3K9me3, H3K36me3"
erasers,Lysine-specific demethylase 4B,KDM4B,H3K9me3
erasers,Lysine-specific demethylase 4C,KDM4C,"H3K9me2, H3K9me3"
erasers,Lysine-specific demethylase 4D,KDM4D,"H3K9me3, H3K9me2, H1K25me1"
erasers,Lysine-specific demethylase 5A,KDM5A,"H3K4me2, H3K4me3"
erasers,Lysine-specific demethylase 5B,KDM5B,H3K4me3
erasers,Lysine-specific demethylase 5C,KDM5C,H3K4me3
erasers,Lysine-specific demethylase 5D,KDM5D,"H3K4me3, H3K4me2"
erasers,Lysine-specific demethylase 6A,KDM6A,H3K27me3
erasers,Lysine-specific demethylase 6B,KDM6B,"H3K27me3, H3K27me2"
erasers,Lysine-specific demethylase 7,JHDM1D,"H3K9me2, H3K27me2"
erasers,Lysine-specific demethylase 8,JMJD5,H3K36me2
erasers,Lysine-specific demethylase NO66,C14orf169,"H3K4me3, H3K36me3"
erasers,Lysine-specific histone demethylase 1A,KDM1A,"H3K4me1, H3K4me2, H3K9me1, H3K9me2"
erasers,Lysine-specific histone demethylase 1B,KDM1B,H3K9me2
erasers,Histone lysine demethylase PHF8,PHF8,"H3K9me2, H3K4me3, H4K20me1, H3K27me2"
erasers,Lysine-specific demethylase 2A,KDM2A,H3K36me2
erasers,Lysine-specific demethylase 2B,KDM2B,"H3K4me3, H3K36me2"
erasers,Lysine-specific demethylase 3A,KDM3A,"H3K9me1, H3K9me2"
erasers,Lysine-specific demethylase 3B,KDM3B,"H3K9me1, H3K9me2"
erasers,Lysine-specific demethylase 4A,KDM4A,"H3K9me3, H3K36me3"
erasers,Lysine-specific demethylase 4B,KDM4B,H3K9me3
erasers,Lysine-specific demethylase 4C,KDM4C,"H3K9me2, H3K9me3"
erasers,Lysine-specific demethylase 4D,KDM4D,"H3K9me3, H3K9me2, H1K25me1"
erasers,Lysine-specific demethylase 5A,KDM5A,"H3K4me2, H3K4me3"
erasers,Lysine-specific demethylase 5B,KDM5B,H3K4me3
erasers,Lysine-specific demethylase 5C,KDM5C,H3K4me3
erasers,Lysine-specific demethylase 5D,KDM5D,"H3K4me3, H3K4me2"
erasers,Lysine-specific demethylase 6A,KDM6A,H3K27me3
erasers,Lysine-specific demethylase 6B,KDM6B,"H3K27me3, H3K27me2"
erasers,Lysine-specific demethylase 7,JHDM1D,"H3K9me2, H3K27me2"
erasers,Lysine-specific demethylase 8,JMJD5,H3K36me2
erasers,Lysine-specific demethylase NO66,C14orf169,"H3K4me3, H3K36me3"
erasers,Lysine-specific histone demethylase 1A,KDM1A,"H3K4me1, H3K4me2, H3K9me1, H3K9me2"
erasers,Lysine-specific histone demethylase 1B,KDM1B,H3K9me2
erasers,Poly(ADP-ribose) glycohydrolase,PARG,
erasers,Histone H2A deubiquitinase MYSM1,MYSM1,H2AK119ub
erasers,Lys-63-specific deubiquitinase BRCC36,BRCC3,
erasers,Ubiquitin carboxyl-terminal hydrolase 16,USP16,
erasers,Ubiquitin carboxyl-terminal hydrolase 22,USP22,
erasers,Ubiquitin carboxyl-terminal hydrolase 3,USP3,
erasers,Dual specificity protein phosphatase 1,DUSP1,H3S10ph
erasers,Eyes absent homolog 1,EYA1,H2AY142ph
erasers,Eyes absent homolog 2,EYA2,H2AY142ph
erasers,Eyes absent homolog 3,EYA3,H2AY142ph
erasers,Protein phosphatase 1D,PPM1D,H2AS139ph
erasers,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,H2AS139ph
erasers,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,PPP2CB,H2AS139ph
erasers,Serine/threonine-protein phosphatase 4 catalytic subunit,PPP4C,H2AS139ph
erasers,Serine/threonine-protein phosphatase 5,PPP5C,
erasers,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,PPP1CC,H3T11ph
