rawname,motif,human_gene
SMAD2::SMAD3::SMAD4,MA0513.1,SMAD4
Sox3,MA0514.1,SOX3
Sox6,MA0515.1,SOX6
STAT1::STAT2,MA0517.1,STAT1
STAT1::STAT2,MA0517.1,STAT2
Stat4,MA0518.1,STAT4
Stat5a::Stat5b,MA0519.1,STAT5A
Stat5a::Stat5b,MA0519.1,STAT5B
Stat6,MA0520.1,STAT6
Tcf12,MA0521.1,TCF12
TCF7L2,MA0523.1,TCF7L2
ZBTB33,MA0527.1,ZBTB33
ELK4,MA0076.2,ELK4
ESR2,MA0258.2,ESR2
IRF1,MA0050.2,IRF1
Nfe2l2,MA0150.2,NFE2L2
STAT1,MA0137.3,STAT1
STAT3,MA0144.2,STAT3
GATA1::TAL1,MA0140.2,GATA1
GATA1::TAL1,MA0140.2,TAL1
YY1,MA0095.2,YY1
Bach1::Mafk,MA0591.1,BACH1
Bach1::Mafk,MA0591.1,MAFK
FOXP2,MA0593.1,FOXP2
SREBF1,MA0595.1,SREBF1
SREBF2,MA0596.1,SREBF2
THAP1,MA0597.1,THAP1
KLF5,MA0599.1,KLF5
Arid3b,MA0601.1,ARID3B
Arid5a,MA0602.1,ARID5A
Arntl,MA0603.1,ARNTL
Atf1,MA0604.1,ATF1
NFAT5,MA0606.1,NFAT5
Bhlha15,MA0607.1,BHLHA15
Creb3l2,MA0608.1,CREB3L2
DMRT3,MA0610.1,DMRT3
Dux,MA0611.1,DUXA
Dux,MA0611.1,DUXB
FOXG1,MA0613.1,FOXG1
Foxj2,MA0614.1,FOXJ2
Gmeb1,MA0615.1,GMEB1
LBX1,MA0618.1,LBX1
LIN54,MA0619.1,LIN54
Mlxip,MA0622.1,MLXIP
NFATC1,MA0624.1,NFATC1
NFATC3,MA0625.1,NFATC3
Npas2,MA0626.1,NPAS2
POU6F1,MA0628.1,POU6F1
Rhox11,MA0629.1,RHOXF1
SHOX,MA0630.1,SHOX
Six3,MA0631.1,SIX3
Twist2,MA0633.1,TWIST2
ALX3,MA0634.1,ALX3
Ar,MA0007.3,AR
BARHL2,MA0635.1,BARHL2
BHLHE41,MA0636.1,BHLHE41
CENPB,MA0637.1,CENPB
CREB3,MA0638.1,CREB3
DBP,MA0639.1,DBP
ELF4,MA0641.1,ELF4
ELF5,MA0136.2,ELF5
EN1,MA0027.2,EN1
EN2,MA0642.1,EN2
Esrrg,MA0643.1,ESRRG
ESX1,MA0644.1,ESX1
ETV6,MA0645.1,ETV6
FLI1,MA0475.2,FLI1
FOXI1,MA0042.2,FOXI1
FOXL1,MA0033.2,FOXL1
FOXO3,MA0157.2,FOXO3
GCM1,MA0646.1,GCM1
GRHL1,MA0647.1,GRHL1
GSC,MA0648.1,GSC
HEY2,MA0649.1,HEY2
HINFP,MA0131.2,HINFP
HNF1A,MA0046.2,HNF1A
HNF1B,MA0153.2,HNF1B
HOXC11,MA0651.1,HOXC11
HSF1,MA0486.2,HSF1
IRF8,MA0652.1,IRF8
IRF9,MA0653.1,IRF9
ISX,MA0654.1,ISX
JDP2,MA0655.1,JDP2
JDP2(var.2),MA0656.1,JDP2
KLF13,MA0657.1,KLF13
LHX6,MA0658.1,LHX6
MEF2B,MA0660.1,MEF2B
MEOX1,MA0661.1,MEOX1
MIXL1,MA0662.1,MIXL1
MLX,MA0663.1,MLX
MLXIPL,MA0664.1,MLXIPL
MSC,MA0665.1,MSC
MSX1,MA0666.1,MSX1
MYF6,MA0667.1,MYF6
NEUROD2,MA0668.1,NEUROD2
NEUROG2,MA0669.1,NEUROG2
NFIA,MA0670.1,NFIA
NFIX,MA0671.1,NFIX
NHLH1,MA0048.2,NHLH1
NKX2-3,MA0672.1,NKX2-3
NKX2-8,MA0673.1,NKX2-8
NKX6-1,MA0674.1,NKX6-1
NKX6-2,MA0675.1,NKX6-2
Nr2e1,MA0676.1,NR2E1
Nr2f6,MA0677.1,NR2F6
OLIG2,MA0678.1,OLIG2
PAX4,MA0068.2,PAX4
PAX7,MA0680.1,PAX7
POU4F2,MA0683.1,POU4F2
Rxra,MA0512.2,RXRA
SP4,MA0685.1,SP4
SPDEF,MA0686.1,SPDEF
SPIC,MA0687.1,SPIC
SRF,MA0083.3,SRF
TBXT,MA0009.2,TBXT
TBX2,MA0688.1,TBX2
TBX20,MA0689.1,TBX20
TBX21,MA0690.1,TBX21
TFAP4,MA0691.1,TFAP4
TFCP2,MA0145.3,TFCP2
TFEB,MA0692.1,TFEB
ZBTB7B,MA0694.1,ZBTB7B
ZBTB7C,MA0695.1,ZBTB7C
ZIC1,MA0696.1,ZIC1
ZIC3,MA0697.1,ZIC3
ZBTB18,MA0698.1,ZBTB18
LBX2,MA0699.1,LBX2
Lhx4,MA0704.1,LHX4
Lhx8,MA0705.1,LHX8
MEOX2,MA0706.1,MEOX2
MNX1,MA0707.1,MNX1
MSX2,MA0708.1,MSX2
Msx3,MA0709.1,MSX1
NOTO,MA0710.1,NOTO
Nkx3-1,MA0124.2,NKX3-1
OTX1,MA0711.1,OTX1
PDX1,MA0132.2,PDX1
PHOX2A,MA0713.1,PHOX2A
PITX3,MA0714.1,PITX3
PROP1,MA0715.1,PROP1
PRRX1,MA0716.1,PRRX1
RAX2,MA0717.1,RAX2
RAX,MA0718.1,RAX
RHOXF1,MA0719.1,RHOXF1
Shox2,MA0720.1,SHOX2
UNCX,MA0721.1,UNCX
VAX1,MA0722.1,VAX1
VAX2,MA0723.1,VAX2
VENTX,MA0724.1,VENTX
VSX1,MA0725.1,VSX1
VSX2,MA0726.1,VSX2
ESR1,MA0112.3,ESR1
ESRRB,MA0141.3,ESRRB
NR2F1,MA0017.2,NR2F1
NR3C1,MA0113.3,NR3C1
NR3C2,MA0727.1,NR3C2
Nr2f6(var.2),MA0728.1,NR2F6
RARA,MA0729.1,RARA
RARA(var.2),MA0730.1,RARA
BCL6B,MA0731.1,BCL6B
EGR2,MA0472.2,EGR2
EGR3,MA0732.1,EGR3
EGR4,MA0733.1,EGR4
GLIS1,MA0735.1,GLIS1
GLIS2,MA0736.1,GLIS2
GLIS3,MA0737.1,GLIS3
HIC2,MA0738.1,HIC2
Hic1,MA0739.1,HIC1
KLF14,MA0740.1,KLF14
KLF16,MA0741.1,KLF16
Klf12,MA0742.1,KLF12
SP8,MA0747.1,SP8
ZBED1,MA0749.1,ZBED1
ZIC4,MA0751.1,ZIC4
ZNF143,MA0088.2,ZNF143
ZNF410,MA0752.1,ZNF410
CUX1,MA0754.1,CUX1
CUX2,MA0755.1,CUX2
ONECUT2,MA0756.1,ONECUT2
ONECUT3,MA0757.1,ONECUT3
E2F7,MA0758.1,E2F7
ELK3,MA0759.1,ELK3
ERF,MA0760.1,ERF
ERG,MA0474.2,ERG
ETS1,MA0098.3,ETS1
ETV2,MA0762.1,ETV2
ETV3,MA0763.1,ETV3
FEV,MA0156.2,FEV
GCM2,MA0767.1,GCM2
LEF1,MA0768.1,LEF1
HSF2,MA0770.1,HSF2
HSF4,MA0771.1,HSF4
IRF7,MA0772.1,IRF7
MEF2D,MA0773.1,MEF2D
MEIS1,MA0498.2,MEIS1
MEIS2,MA0774.1,MEIS2
MEIS3,MA0775.1,MEIS3
MYBL1,MA0776.1,MYBL1
MYBL2,MA0777.1,MYBL2
NFKB1,MA0105.4,NFKB1
NFKB2,MA0778.1,NFKB2
PAX1,MA0779.1,PAX1
PAX3,MA0780.1,PAX3
PAX9,MA0781.1,PAX9
PKNOX2,MA0783.1,PKNOX2
POU1F1,MA0784.1,POU1F1
POU2F1,MA0785.1,POU2F1
POU3F1,MA0786.1,POU3F1
POU3F2,MA0787.1,POU3F2
POU3F3,MA0788.1,POU3F3
POU3F4,MA0789.1,POU3F4
POU4F1,MA0790.1,POU4F1
POU4F3,MA0791.1,POU4F3
POU5F1B,MA0792.1,POU5F1B
POU6F2,MA0793.1,POU6F2
PROX1,MA0794.1,PROX1
RFX2,MA0600.2,RFX2
SMAD3,MA0795.1,SMAD3
TGIF1,MA0796.1,TGIF1
TGIF2,MA0797.1,TGIF2
RFX4,MA0799.1,RFX4
RFX5,MA0510.2,RFX5
RUNX2,MA0511.2,RUNX2
EOMES,MA0800.1,EOMES
MGA,MA0801.1,MGA
TBR1,MA0802.1,TBR1
TBX15,MA0803.1,TBX15
TBX19,MA0804.1,TBX19
TBX1,MA0805.1,TBX1
TBX4,MA0806.1,TBX4
TBX5,MA0807.1,TBX5
TEAD3,MA0808.1,TEAD3
TFAP2A(var.2),MA0810.1,TFAP2A
TFAP2B,MA0811.1,TFAP2B
TFAP2B(var.2),MA0812.1,TFAP2B
TFAP2B(var.3),MA0813.1,TFAP2B
TFAP2C,MA0524.2,TFAP2C
TFAP2C(var.3),MA0815.1,TFAP2C
Ascl2,MA0816.1,ASCL2
Atoh1,MA0461.2,ATOH1
BHLHE40,MA0464.2,BHLHE40
BHLHE23,MA0817.1,BHLHE23
BHLHE22,MA0818.1,BHLHE22
CLOCK,MA0819.1,CLOCK
FIGLA,MA0820.1,FIGLA
HES5,MA0821.1,HES5
HES7,MA0822.1,HES7
HEY1,MA0823.1,HEY1
MAX,MA0058.3,MAX
MNT,MA0825.1,MNT
OLIG1,MA0826.1,OLIG1
OLIG3,MA0827.1,OLIG3
SREBF2(var.2),MA0828.1,SREBF2
Tcf21,MA0832.1,TCF21
ATF7,MA0834.1,ATF7
CEBPB,MA0466.2,CEBPB
CEBPE,MA0837.1,CEBPE
CEBPG,MA0838.1,CEBPG
CREB3L1,MA0839.1,CREB3L1
Creb5,MA0840.1,CREB5
Mafb,MA0117.2,MAFB
NFE2,MA0841.1,NFE2
TEF,MA0843.1,TEF
XBP1,MA0844.1,XBP1
FOXB1,MA0845.1,FOXB1
FOXC1,MA0032.2,FOXC1
FOXC2,MA0846.1,FOXC2
FOXO4,MA0848.1,FOXO4
FOXO6,MA0849.1,FOXO6
FOXP3,MA0850.1,FOXP3
Foxj3,MA0851.1,FOXJ3
Alx4,MA0853.1,ALX4
Alx1,MA0854.1,ALX1
RXRB,MA0855.1,RXRB
RXRG,MA0856.1,RXRG
Rarb,MA0857.1,RARB
Rarb(var.2),MA0858.1,RARB
Rarg,MA0859.1,RARG
Rarg(var.2),MA0860.1,RARG
TP63,MA0525.2,TP63
TP53,MA0106.3,TP53
TP73,MA0861.1,TP73
GMEB2,MA0862.1,GMEB2
MTF1,MA0863.1,MTF1
E2F1,MA0024.3,E2F1
E2F8,MA0865.1,E2F8
SOX21,MA0866.1,SOX21
Sox11,MA0869.1,SOX11
Sox1,MA0870.1,SOX1
TFAP2A(var.3),MA0872.1,TFAP2A
ELK1,MA0028.2,ELK1
HOXD12,MA0873.1,HOXD12
Arx,MA0874.1,ARX
BARX1,MA0875.1,BARX1
BSX,MA0876.1,BSX
Dlx1,MA0879.1,DLX1
Dlx3,MA0880.1,DLX3
Dlx4,MA0881.1,DLX4
DLX6,MA0882.1,DLX6
Dmbx1,MA0883.1,DMBX1
DUXA,MA0884.1,DUXA
Dlx2,MA0885.1,DLX2
EMX2,MA0886.1,EMX2
EVX1,MA0887.1,EVX1
EVX2,MA0888.1,EVX2
GBX1,MA0889.1,GBX1
GBX2,MA0890.1,GBX2
GSC2,MA0891.1,GSC2
GSX1,MA0892.1,GSX1
HESX1,MA0894.1,HESX1
HMBOX1,MA0895.1,HMBOX1
Hmx1,MA0896.1,HMX1
Hmx2,MA0897.1,HMX2
Hmx3,MA0898.1,HMX3
HOXA10,MA0899.1,HOXA10
HOXB3,MA0903.1,HOXB3
HOXC10,MA0905.1,HOXC10
HOXC12,MA0906.1,HOXC12
HOXC13,MA0907.1,HOXC13
HOXD11,MA0908.1,HOXD11
Hoxa11,MA0911.1,HOXA11
ISL2,MA0914.1,ISL2
FOXK1,MA0852.2,FOXK1
GATA2,MA0036.3,GATA2
HIF1A,MA1106.1,HIF1A
MYC,MA0147.3,MYC
MYB,MA0100.3,MYB
MYCN,MA0104.4,MYCN
NEUROD1,MA1109.1,NEUROD1
NFIC,MA0161.2,NFIC
NFYA,MA0060.3,NFYA
NR1H4,MA1110.1,NR1H4
NR2F2,MA1111.1,NR2F2
PAX5,MA0014.3,PAX5
PBX3,MA1114.1,PBX3
POU5F1,MA1115.1,POU5F1
RBPJ,MA1116.1,RBPJ
RELB,MA1117.1,RELB
SIX1,MA1118.1,SIX1
SIX2,MA1119.1,SIX2
SOX10,MA0442.2,SOX10
SOX13,MA1120.1,SOX13
TEAD2,MA1121.1,TEAD2
TFDP1,MA1122.1,TFDP1
ZBTB7A,MA0750.2,ZBTB7A
ZEB1,MA0103.3,ZEB1
ZNF24,MA1124.1,ZNF24
ZNF384,MA1125.1,ZNF384
ZNF282,MA1154.1,ZNF282
ZSCAN4,MA1155.1,ZSCAN4
GATA3,MA0037.3,GATA3
FOS::JUN,MA0099.3,FOS
FOS::JUN,MA0099.3,JUN
FOS::JUN(var.2),MA1126.1,FOS
FOS::JUN(var.2),MA1126.1,JUN
FOSB::JUN,MA1127.1,FOSB
FOSB::JUN,MA1127.1,JUN
FOSL1::JUN,MA1128.1,FOSL1
FOSL1::JUN,MA1128.1,JUN
FOSL1::JUN(var.2),MA1129.1,FOSL1
FOSL1::JUN(var.2),MA1129.1,JUN
FOSL2::JUN,MA1130.1,FOSL2
FOSL2::JUN,MA1130.1,JUN
FOSL2::JUN(var.2),MA1131.1,FOSL2
FOSL2::JUN(var.2),MA1131.1,JUN
JUN::JUNB,MA1132.1,JUN
JUN::JUNB,MA1132.1,JUNB
JUN::JUNB(var.2),MA1133.1,JUN
JUN::JUNB(var.2),MA1133.1,JUNB
FOS::JUNB,MA1134.1,FOS
FOS::JUNB,MA1134.1,JUNB
FOSB::JUNB,MA1135.1,FOSB
FOSB::JUNB,MA1135.1,JUNB
FOSB::JUNB(var.2),MA1136.1,FOSB
FOSB::JUNB(var.2),MA1136.1,JUNB
FOSL1::JUNB,MA1137.1,FOSL1
FOSL1::JUNB,MA1137.1,JUNB
FOSL2::JUNB,MA1138.1,FOSL2
FOSL2::JUNB,MA1138.1,JUNB
FOSL2::JUNB(var.2),MA1139.1,FOSL2
FOSL2::JUNB(var.2),MA1139.1,JUNB
FOS::JUND,MA1141.1,FOS
FOS::JUND,MA1141.1,JUND
FOSL1::JUND,MA1142.1,FOSL1
FOSL1::JUND,MA1142.1,JUND
FOSL1::JUND(var.2),MA1143.1,FOSL1
FOSL1::JUND(var.2),MA1143.1,JUND
FOSL2::JUND,MA1144.1,FOSL2
FOSL2::JUND,MA1144.1,JUND
FOSL2::JUND(var.2),MA1145.1,FOSL2
FOSL2::JUND(var.2),MA1145.1,JUND
NR1H4::RXRA,MA1146.1,NR1H4
NR1H4::RXRA,MA1146.1,RXRA
NR4A2::RXRA,MA1147.1,NR4A2
NR4A2::RXRA,MA1147.1,RXRA
PPARA::RXRA,MA1148.1,PPARA
PPARA::RXRA,MA1148.1,RXRA
RARA::RXRG,MA1149.1,RARA
RARA::RXRG,MA1149.1,RXRG
RORB,MA1150.1,RORB
RORC,MA1151.1,RORC
SOX15,MA1152.1,SOX15
TFE3,MA0831.2,TFE3
VDR,MA0693.2,VDR
Smad4,MA1153.1,SMAD4
IRF3,MA1418.1,IRF3
IRF4,MA1419.1,IRF4
IRF5,MA1420.1,IRF5
TCF7L1,MA1421.1,TCF7L1
ARGFX,MA1463.1,ARGFX
ARNT2,MA1464.1,ARNT2
ATF6,MA1466.1,ATF6
ATOH1(var.2),MA1467.1,ATOH1
ATOH7,MA1468.1,ATOH7
BACH2,MA1101.2,BACH2
BACH2(var.2),MA1470.1,BACH2
BARX2,MA1471.1,BARX2
BHLHA15(var.2),MA1472.1,BHLHA15
CDX4,MA1473.1,CDX4
CREB3L4,MA1474.1,CREB3L4
CREB3L4(var.2),MA1475.1,CREB3L4
DLX5,MA1476.1,DLX5
DMRTA2,MA1478.1,DMRTA2
DMRTC2,MA1479.1,DMRTC2
DPRX,MA1480.1,DPRX
DRGX,MA1481.1,DRGX
ELF2,MA1483.1,ELF2
ETS2,MA1484.1,ETS2
FERD3L,MA1485.1,FERD3L
FOXE1,MA1487.1,FOXE1
FOXN3,MA1489.1,FOXN3
GLI3,MA1491.1,GLI3
HES6,MA1493.1,HES6
HNF4A(var.2),MA1494.1,HNF4A
HOXA1,MA1495.1,HOXA1
HOXA4,MA1496.1,HOXA4
HOXA6,MA1497.1,HOXA6
HOXA7,MA1498.1,HOXA7
HOXB4,MA1499.1,HOXB4
HOXB6,MA1500.1,HOXB6
HOXB7,MA1501.1,HOXB7
HOXB8,MA1502.1,HOXB8
HOXB9,MA1503.1,HOXB9
HOXC4,MA1504.1,HOXC4
HOXC8,MA1505.1,HOXC8
HOXD10,MA1506.1,HOXD10
HOXD4,MA1507.1,HOXD4
IKZF1,MA1508.1,IKZF1
IRF6,MA1509.1,IRF6
KLF10,MA1511.1,KLF10
KLF11,MA1512.1,KLF11
KLF15,MA1513.1,KLF15
KLF17,MA1514.1,KLF17
KLF2,MA1515.1,KLF2
KLF3,MA1516.1,KLF3
KLF6,MA1517.1,KLF6
LHX1,MA1518.1,LHX1
LHX5,MA1519.1,LHX5
MAF,MA1520.1,MAF
MAFA,MA1521.1,MAFA
MAZ,MA1522.1,MAZ
MSANTD3,MA1523.1,MSANTD3
MSGN1,MA1524.1,MSGN1
NFATC4,MA1525.1,NFATC4
NFIC(var.2),MA1527.1,NFIC
NFIX(var.2),MA1528.1,NFIX
NHLH2,MA1529.1,NHLH2
NKX6-3,MA1530.1,NKX6-3
NR1D1,MA1531.1,NR1D1
NR1D2,MA1532.1,NR1D2
NR1I2,MA1533.1,NR1I2
NR1I3,MA1534.1,NR1I3
NR2C1,MA1535.1,NR2C1
NR2C2(var.2),MA1536.1,NR2C2
NR2F1(var.2),MA1537.1,NR2F1
NR2F1(var.3),MA1538.1,NR2F1
NR2F6(var.3),MA1539.1,NR2F6
NR5A1,MA1540.1,NR5A1
NR6A1,MA1541.1,NR6A1
OSR1,MA1542.1,OSR1
OVOL1,MA1544.1,OVOL1
OVOL2,MA1545.1,OVOL2
PAX3(var.2),MA1546.1,PAX3
PITX2,MA1547.1,PITX2
PLAGL2,MA1548.1,PLAGL2
POU6F1(var.2),MA1549.1,POU6F1
PPARD,MA1550.1,PPARD
RARB(var.3),MA1552.1,RARB
RARG(var.3),MA1553.1,RARG
RFX7,MA1554.1,RFX7
RXRB(var.2),MA1555.1,RXRB
RXRG(var.2),MA1556.1,RXRG
SMAD5,MA1557.1,SMAD5
SNAI1,MA1558.1,SNAI1
SNAI3,MA1559.1,SNAI3
SOHLH2,MA1560.1,SOHLH2
SOX12,MA1561.1,SOX12
SOX14,MA1562.1,SOX14
SOX18,MA1563.1,SOX18
SP9,MA1564.1,SP9
TBX18,MA1565.1,TBX18
TBX3,MA1566.1,TBX3
TBX6,MA1567.1,TBX6
TCF21(var.2),MA1568.1,TCF21
TFAP2E,MA1569.1,TFAP2E
TFAP4(var.2),MA1570.1,TFAP4
TGIF2LX,MA1571.1,TGIF2LX
TGIF2LY,MA1572.1,TGIF2LY
THAP11,MA1573.1,THAP11
THRB,MA1574.1,THRB
THRB(var.2),MA1575.1,THRB
THRB(var.3),MA1576.1,THRB
TLX2,MA1577.1,TLX2
VEZF1,MA1578.1,VEZF1
ZBTB26,MA1579.1,ZBTB26
ZBTB32,MA1580.1,ZBTB32
ZBTB6,MA1581.1,ZBTB6
ZFP57,MA1583.1,ZFP57
ZIC5,MA1584.1,ZIC5
ZKSCAN1,MA1585.1,ZKSCAN1
ZNF135,MA1587.1,ZNF135
ZNF136,MA1588.1,ZNF136
ZNF140,MA1589.1,ZNF140
ZNF274,MA1592.1,ZNF274
ZNF317,MA1593.1,ZNF317
ZNF382,MA1594.1,ZNF382
ZNF460,MA1596.1,ZNF460
ZNF528,MA1597.1,ZNF528
ZNF682,MA1599.1,ZNF682
ZNF684,MA1600.1,ZNF684
ZNF75D,MA1601.1,ZNF75D
ZSCAN29,MA1602.1,ZSCAN29
Dmrt1,MA1603.1,DMRT1
Ebf2,MA1604.1,EBF2
Foxf1,MA1606.1,FOXF1
Foxl2,MA1607.1,FOXL2
Isl1,MA1608.1,ISL1
Plagl1,MA1615.1,PLAGL1
Prdm15,MA1616.1,PRDM15
Ptf1a,MA1618.1,PTF1A
Ptf1a(var.2),MA1619.1,PTF1A
Ptf1a(var.3),MA1620.1,PTF1A
Rbpjl,MA1621.1,RBPJL
Smad2::Smad3,MA1622.1,SMAD2
Smad2::Smad3,MA1622.1,SMAD3
Stat2,MA1623.1,STAT2
Stat5a,MA1624.1,STAT5A
Stat5b,MA1625.1,STAT5B
Wt1,MA1627.1,WT1
Zic1::Zic2,MA1628.1,ZIC1
Zic1::Zic2,MA1628.1,ZIC2
Zic2,MA1629.1,ZIC2
Znf281,MA1630.1,ZNF281
ASCL1,MA1100.2,ASCL1
ATF3,MA0605.2,ATF3
BARHL1,MA0877.2,BARHL1
BATF::JUN,MA0462.2,BATF
BATF::JUN,MA0462.2,JUN
BCL6,MA0463.2,BCL6
CDX1,MA0878.2,CDX1
E2F2,MA0864.2,E2F2
E2F3,MA0469.3,E2F3
E2F4,MA0470.2,E2F4
EMX1,MA0612.2,EMX1
FOXD2,MA0847.2,FOXD2
GATA5,MA0766.2,GATA5
GFI1,MA0038.2,GFI1
GLI2,MA0734.2,GLI2
GSX2,MA0893.2,GSX2
HES1,MA1099.2,HES1
HES2,MA0616.2,HES2
HOXA13,MA0650.2,HOXA13
HOXA2,MA0900.2,HOXA2
HOXA5,MA0158.2,HOXA5
HOXA9,MA0594.2,HOXA9
HOXB2,MA0902.2,HOXB2
HOXB5,MA0904.2,HOXB5
HOXC9,MA0485.2,HOXC9
HOXD13,MA0909.2,HOXD13
HOXD3,MA0912.2,HOXD3
HOXD8,MA0910.2,HOXD8
HOXD9,MA0913.2,HOXD9
JUNB(var.2),MA1140.2,JUNB
LHX9,MA0701.2,LHX9
LMX1A,MA0702.2,LMX1A
LMX1B,MA0703.2,LMX1B
NEUROG1,MA0623.2,NEUROG1
NRL,MA0842.2,NRL
PITX1,MA0682.2,PITX1
PRRX2,MA0075.3,PRRX2
SOX4,MA0867.2,SOX4
SOX8,MA0868.2,SOX8
SP1,MA0079.4,SP1
SP2,MA0516.2,SP2
SP3,MA0746.2,SP3
TCFL5,MA0632.2,TCFL5
TFEC,MA0871.2,TFEC
ZNF740,MA0753.2,ZNF740
Nkx3-2,MA0122.3,NKX3-2
ASCL1(var.2),MA1631.1,ASCL1
ATF2,MA1632.1,ATF2
BACH1,MA1633.1,BACH1
BATF,MA1634.1,BATF
BHLHE22(var.2),MA1635.1,BHLHE22
CEBPG(var.2),MA1636.1,CEBPG
EBF3,MA1637.1,EBF3
HAND2,MA1638.1,HAND2
MEIS1(var.2),MA1639.1,MEIS1
MEIS2(var.2),MA1640.1,MEIS2
MYF5,MA1641.1,MYF5
NEUROG2(var.2),MA1642.1,NEUROG2
NFIB,MA1643.1,NFIB
NFYC,MA1644.1,NFYC
NKX2-2,MA1645.1,NKX2-2
OSR2,MA1646.1,OSR2
PRDM4,MA1647.1,PRDM4
TCF12(var.2),MA1648.1,TCF12
ZBTB12,MA1649.1,ZBTB12
ZBTB14,MA1650.1,ZBTB14
ZFP42,MA1651.1,ZFP42
ZKSCAN5,MA1652.1,ZKSCAN5
ZNF148,MA1653.1,ZNF148
ZNF16,MA1654.1,ZNF16
ZNF341,MA1655.1,ZNF341
ZNF449,MA1656.1,ZNF449
ZNF652,MA1657.1,ZNF652
FOXA3,MA1683.1,FOXA3
ATF4,MA0833.2,ATF4
BATF3,MA0835.2,BATF3
CDX2,MA0465.2,CDX2
CEBPA,MA0102.4,CEBPA
CEBPD,MA0836.2,CEBPD
CREB1,MA0018.4,CREB1
CTCFL,MA1102.2,CTCFL
E2F6,MA0471.2,E2F6
EBF1,MA0154.4,EBF1
EGR1,MA0162.4,EGR1
EHF,MA0598.3,EHF
ELF1,MA0473.3,ELF1
ELF3,MA0640.2,ELF3
ESRRA,MA0592.3,ESRRA
ETV1,MA0761.2,ETV1
ETV4,MA0764.2,ETV4
ETV5,MA0765.2,ETV5
FOSL1,MA0477.2,FOSL1
FOXA1,MA0148.4,FOXA1
FOXA2,MA0047.3,FOXA2
FOXK2,MA1103.2,FOXK2
FOXP1,MA0481.3,FOXP1
GABPA,MA0062.3,GABPA
GATA1,MA0035.4,GATA1
