HGNC ID	Approved symbol	RefSeq IDs	Ensembl gene ID
HGNC:47	ABCB6	NM_005689	ENSG00000115657
HGNC:48	ABCB7	NM_004299	ENSG00000131269
HGNC:49	ABCB8	NM_007188	ENSG00000197150
HGNC:50	ABCB9	NM_019624	ENSG00000150967
HGNC:41	ABCB10	NM_012089	ENSG00000135776
HGNC:14114	ABCB10P1	NG_005041	ENSG00000274099
HGNC:31128	ABCB10P2		
HGNC:31129	ABCB10P3	NG_022122	ENSG00000261524
HGNC:31130	ABCB10P4	NG_022102	ENSG00000260053
HGNC:42	ABCB11	NM_003742	ENSG00000073734
HGNC:51	ABCC1	NM_004996	ENSG00000103222
HGNC:53	ABCC2	NM_000392	ENSG00000023839
HGNC:54	ABCC3	NM_020038	ENSG00000108846
HGNC:55	ABCC4	NM_005845	ENSG00000125257
HGNC:56	ABCC5	NM_005688	ENSG00000114770
HGNC:40055	ABCC5-AS1		ENSG00000223882
HGNC:57	ABCC6		ENSG00000091262
HGNC:33352	ABCC6P1	NR_003569	ENSG00000256340
HGNC:33353	ABCC6P2	NR_023387	ENSG00000255277
HGNC:58	ABCC7		
HGNC:59	ABCC8	NM_000352	ENSG00000006071
HGNC:60	ABCC9	NM_005691	ENSG00000069431
HGNC:52	ABCC10	NM_033450	ENSG00000124574
HGNC:14639	ABCC11	NM_032583	ENSG00000121270
HGNC:14640	ABCC12	NM_033226	ENSG00000140798
HGNC:16022	ABCC13		ENSG00000243064
HGNC:61	ABCD1	NM_000033	ENSG00000101986
HGNC:62	ABCD1P1		
HGNC:63	ABCD1P2		ENSG00000215151
HGNC:64	ABCD1P3		ENSG00000261233
HGNC:65	ABCD1P4		ENSG00000225293
HGNC:42662	ABCD1P5		ENSG00000214330
HGNC:66	ABCD2	NM_005164	ENSG00000173208
HGNC:67	ABCD3	NM_002858	ENSG00000117528
HGNC:68	ABCD4	NM_005050	ENSG00000119688
HGNC:69	ABCE1	NM_002940	ENSG00000164163
HGNC:70	ABCF1		ENSG00000204574
HGNC:53628	ABCF1-DT		
HGNC:71	ABCF2	NM_005692	ENSG00000033050
HGNC:54751	ABCF2-H2BK1		ENSG00000285292
HGNC:48841	ABCF2P1		ENSG00000242159
HGNC:48842	ABCF2P2		ENSG00000228769
HGNC:72	ABCF3	NM_018358	ENSG00000161204
HGNC:73	ABCG1	NM_207174	ENSG00000160179
HGNC:74	ABCG2	NM_004827	ENSG00000118777
HGNC:13884	ABCG4	NM_022169	ENSG00000172350
HGNC:13886	ABCG5	NM_022436	ENSG00000138075
HGNC:13887	ABCG8	NM_022437	ENSG00000143921
HGNC:75	ABCR		
HGNC:17553	ABHD1	NM_032604	ENSG00000143994
HGNC:18717	ABHD2		ENSG00000140526
HGNC:18718	ABHD3		ENSG00000158201
HGNC:20154	ABHD4		ENSG00000100439
HGNC:21396	ABHD5	NM_016006	ENSG00000011198
HGNC:21398	ABHD6	NM_020676	ENSG00000163686
HGNC:23759	ABHD8	NM_024527	ENSG00000127220
HGNC:25656	ABHD10	NM_018394	ENSG00000144827
HGNC:16407	ABHD11		ENSG00000106077
HGNC:40012	ABHD11-AS2		
HGNC:15868	ABHD12	NM_015600	ENSG00000100997
HGNC:19837	ABHD12B		ENSG00000131969
HGNC:20293	ABHD13	NM_032859	ENSG00000139826
HGNC:24538	ABHD14A	NM_015407	ENSG00000248487
HGNC:38856	ABHD14A-ACY1		ENSG00000114786
HGNC:28235	ABHD14B	NM_032750	ENSG00000114779
HGNC:26971	ABHD15	NM_198147	ENSG00000168792
HGNC:49685	ABHD15-AS1		ENSG00000264031
HGNC:13921	ABHD16A		ENSG00000204427
HGNC:16128	ABHD16B		ENSG00000183260
HGNC:28756	ABHD17A	NM_031213	ENSG00000129968
HGNC:28394	ABHD17AP1	NG_011738	ENSG00000198658
HGNC:33538	ABHD17AP2		
HGNC:34041	ABHD17AP3	XR_041784	ENSG00000250536
HGNC:34042	ABHD17AP4		ENSG00000229107
HGNC:34043	ABHD17AP5		ENSG00000263366
HGNC:34044	ABHD17AP6		ENSG00000226981
HGNC:38508	ABHD17AP7		ENSG00000260864
HGNC:38509	ABHD17AP8		ENSG00000260540
HGNC:38510	ABHD17AP9		ENSG00000261536
HGNC:24278	ABHD17B	NM_016014	ENSG00000107362
HGNC:26925	ABHD17C	NM_021214	ENSG00000136379
HGNC:26111	ABHD18	NM_001039717	ENSG00000164074
HGNC:11320	ABI1	NM_005470	ENSG00000136754
HGNC:20035	ABI1P1	NG_002531	ENSG00000271484
HGNC:24011	ABI2	NM_005759	ENSG00000138443
HGNC:29859	ABI3	NM_016428	ENSG00000108798
HGNC:17265	ABI3BP		ENSG00000154175
HGNC:1364	ABITRAM	NM_017832	ENSG00000119328
HGNC:39851	ABITRAMP1	NG_011392	ENSG00000251106
HGNC:76	ABL1	NM_007313	ENSG00000097007
HGNC:77	ABL2	NM_005158	ENSG00000143322
HGNC:78	ABLIM1		ENSG00000099204
HGNC:19195	ABLIM2	NM_001130083	ENSG00000163995
HGNC:29132	ABLIM3	NM_014945	ENSG00000173210
HGNC:79	ABO	NM_020469	ENSG00000175164
HGNC:81	ABR		ENSG00000159842
HGNC:55674	ABR-AS1		ENSG00000235361
HGNC:30655	ABRA	NM_139166	ENSG00000174429
HGNC:21230	ABRACL	NM_021243	ENSG00000146386
HGNC:25829	ABRAXAS1	NM_139076	ENSG00000163322
HGNC:56461	ABRAXAS1P1	NG_025605	ENSG00000213431
HGNC:56462	ABRAXAS1P2	NG_022380	ENSG00000253384
HGNC:28975	ABRAXAS2	NM_032182	ENSG00000165660
HGNC:17369	ABT1		ENSG00000146109
HGNC:39557	ABT1P1	NG_025142	ENSG00000250496
HGNC:18275	ABTB1	NM_172027	ENSG00000114626
HGNC:23842	ABTB2	NM_145804	ENSG00000166016
HGNC:23844	ABTB3	NM_152322	ENSG00000151136
HGNC:82	ACAA1	NM_001607	ENSG00000060971
HGNC:83	ACAA2	NM_006111	ENSG00000167315
HGNC:55880	ACAA2P1		ENSG00000233585
HGNC:84	ACACA	NM_198836	ENSG00000278540
HGNC:85	ACACB	NM_001093	ENSG00000076555
HGNC:86	ACAD		
HGNC:87	ACAD8	NM_014384	ENSG00000151498
HGNC:21497	ACAD9	NM_014049	ENSG00000177646
HGNC:56086	ACAD9-DT		ENSG00000287110
HGNC:21597	ACAD10	NM_025247	ENSG00000111271
HGNC:30211	ACAD11	NM_032169	ENSG00000240303
HGNC:88	ACADL	NM_001608	ENSG00000115361
HGNC:89	ACADM		ENSG00000117054
HGNC:90	ACADS	NM_000017	ENSG00000122971
HGNC:91	ACADSB	NM_001609	ENSG00000196177
HGNC:92	ACADVL	NM_000018	ENSG00000072778
HGNC:319	ACAN	NM_001135	ENSG00000157766
HGNC:16467	ACAP1	NM_014716	ENSG00000072818
HGNC:16469	ACAP2	NM_012287	ENSG00000114331
HGNC:41426	ACAP2-IT1		ENSG00000229325
HGNC:16754	ACAP3	NM_030649	ENSG00000131584
HGNC:93	ACAT1	NM_000019	ENSG00000075239
HGNC:94	ACAT2	NM_005891	ENSG00000120437
HGNC:15453	ACBD3	NM_022735	ENSG00000182827
HGNC:40701	ACBD3-AS1	NR_146443	ENSG00000234478
HGNC:23337	ACBD4	NM_024722	ENSG00000181513
HGNC:23338	ACBD5	NM_145698	ENSG00000107897
HGNC:23339	ACBD6	NM_032360	ENSG00000230124
HGNC:17715	ACBD7		ENSG00000176244
HGNC:96	ACBP		
HGNC:97	ACC		
HGNC:98	ACCN		
HGNC:14594	ACCPN		
HGNC:23989	ACCS	NM_032592	ENSG00000110455
HGNC:34391	ACCSL	NM_001031854	ENSG00000205126
HGNC:25070	ACD	NM_022914	ENSG00000102977
HGNC:2707	ACE	NM_000789	ENSG00000159640
HGNC:13557	ACE2		ENSG00000130234
HGNC:56255	ACE2-DT	NR_126564	ENSG00000225833
HGNC:44365	ACE3P		ENSG00000224353
HGNC:18356	ACER1	NM_133492	ENSG00000167769
HGNC:23675	ACER2	NM_001010887	ENSG00000177076
HGNC:54674	ACER2P1	NG_030142	ENSG00000180105
HGNC:16066	ACER3	NM_018367	ENSG00000078124
HGNC:106	ACH		
HGNC:107	ACHAP		
HGNC:108	ACHE	NM_015831	ENSG00000087085
HGNC:109	ACHM1		
HGNC:110	ACHM2		
HGNC:111	ACHM3		
HGNC:112	ACHRD		
HGNC:113	ACHRG		
HGNC:17066	ACIN1	NM_014977	ENSG00000100813
HGNC:4035	ACKR1	NM_002036	ENSG00000213088
HGNC:1565	ACKR2	NM_001296	ENSG00000144648
HGNC:23692	ACKR3	NM_020311	ENSG00000144476
HGNC:1611	ACKR4	NM_016557	ENSG00000129048
HGNC:21142	ACKR4P1	XM_208346	ENSG00000225415
HGNC:114	ACLS		
HGNC:115	ACLY	NM_001096	ENSG00000131473
HGNC:116	ACMG		
HGNC:19288	ACMSD		ENSG00000153086
HGNC:34504	ACNATP		ENSG00000227411
HGNC:117	ACO1	NM_002197	ENSG00000122729
HGNC:118	ACO2	NM_001098	ENSG00000100412
HGNC:33904	ACOD1	NM_001258406	ENSG00000102794
HGNC:33128	ACOT1	NM_001037161	ENSG00000184227
HGNC:18431	ACOT2	NM_006821	ENSG00000119673
HGNC:19748	ACOT4	NM_152331	ENSG00000177465
HGNC:33159	ACOT6	NM_001037162	ENSG00000205669
HGNC:24157	ACOT7	NM_007274	ENSG00000097021
HGNC:15919	ACOT8	NM_183386	ENSG00000101473
HGNC:17152	ACOT9	NM_012332	ENSG00000123130
HGNC:18156	ACOT11	NM_015547	ENSG00000162390
HGNC:24436	ACOT12	NM_130767	ENSG00000172497
HGNC:20999	ACOT13	NM_018473	ENSG00000112304
HGNC:119	ACOX1		ENSG00000161533
HGNC:120	ACOX2	NM_003500	ENSG00000168306
HGNC:121	ACOX3		ENSG00000087008
HGNC:25621	ACOXL	NM_018308	ENSG00000153093
HGNC:41112	ACOXL-AS1	NR_122074	ENSG00000204581
HGNC:122	ACP1	NM_004300	ENSG00000143727
HGNC:123	ACP2	NM_001610	ENSG00000134575
HGNC:125	ACP3	NM_001099	ENSG00000014257
HGNC:14376	ACP4	NM_033068	ENSG00000142513
HGNC:124	ACP5		ENSG00000102575
HGNC:29609	ACP6	NM_016361	ENSG00000162836
HGNC:33781	ACP7	NM_001004318	ENSG00000183760
HGNC:126	ACR	NM_001097	ENSG00000100312
HGNC:17195	ACRBP	NM_032489	ENSG00000111644
HGNC:54745	ACRP1	NG_021518	ENSG00000175509
HGNC:127	ACRV1	NM_001612	ENSG00000134940
HGNC:128	ACS3		
HGNC:29567	ACSBG1	NM_015162	ENSG00000103740
HGNC:24174	ACSBG2	NM_030924	ENSG00000130377
HGNC:26101	ACSF2	NM_025149	ENSG00000167107
HGNC:27288	ACSF3	NM_174917	ENSG00000176715
HGNC:3569	ACSL1	NM_001995	ENSG00000151726
HGNC:3570	ACSL3	NM_004457	ENSG00000123983
HGNC:40227	ACSL3-AS1		ENSG00000234193
HGNC:56529	ACSL3P1	NG_025745	ENSG00000244062
HGNC:3571	ACSL4	NM_004458	ENSG00000068366
HGNC:16526	ACSL5	NM_016234	ENSG00000197142
HGNC:16496	ACSL6	NM_015256	ENSG00000164398
HGNC:40772	ACSL6-AS1		ENSG00000223548
HGNC:18049	ACSM1	NM_052956	ENSG00000166743
HGNC:32017	ACSM2A	NM_001308172	ENSG00000183747
HGNC:30931	ACSM2B	NM_182617	ENSG00000066813
HGNC:10522	ACSM3	NM_005622	ENSG00000005187
HGNC:32016	ACSM4	NM_001080454	ENSG00000215009
HGNC:26060	ACSM5	NM_017888	ENSG00000183549
HGNC:51295	ACSM5P1	NG_026352	ENSG00000260762
HGNC:31665	ACSM6	NM_207321	ENSG00000173124
HGNC:16091	ACSS1	NM_032501	ENSG00000154930
HGNC:15814	ACSS2	NM_018677	ENSG00000131069
HGNC:24723	ACSS3	NM_024560	ENSG00000111058
HGNC:129	ACTA1	NM_001100	ENSG00000143632
HGNC:130	ACTA2	NM_001613	ENSG00000107796
HGNC:45169	ACTA2-AS1	NR_125373	ENSG00000180139
HGNC:131	ACTA3		
HGNC:132	ACTB	NM_001101	ENSG00000075624
HGNC:17780	ACTBL2	NM_001017992	ENSG00000169067
HGNC:134	ACTBP1	NG_022596	ENSG00000229145
HGNC:135	ACTBP2	NG_003019	ENSG00000213763
HGNC:136	ACTBP3		
HGNC:137	ACTBP4		ENSG00000286676
HGNC:138	ACTBP5		
HGNC:139	ACTBP6	NG_008793	ENSG00000203413
HGNC:140	ACTBP7		ENSG00000185607
HGNC:141	ACTBP8	NG_000840	ENSG00000220267
HGNC:142	ACTBP9	NG_003162	ENSG00000266920
HGNC:31819	ACTBP10		
HGNC:33971	ACTBP11		ENSG00000188460
HGNC:150	ACTBP12	NG_026958	ENSG00000233125
HGNC:45086	ACTBP14	NG_022182	ENSG00000229001
HGNC:55065	ACTBP15		ENSG00000213857
HGNC:56590	ACTBP16	NG_022284	ENSG00000241473
HGNC:143	ACTC1	NM_005159	ENSG00000159251
HGNC:51491	ACTE1P		ENSG00000172900
HGNC:144	ACTG1	NM_001614	ENSG00000184009
HGNC:146	ACTG1P1	NG_001068	ENSG00000178631
HGNC:147	ACTG1P2	NG_004636	ENSG00000229129
HGNC:148	ACTG1P3	NG_000842	ENSG00000215388
HGNC:149	ACTG1P4		ENSG00000236085
HGNC:151	ACTG1P6		
HGNC:152	ACTG1P7		
HGNC:153	ACTG1P8		
HGNC:154	ACTG1P9	NG_001069	ENSG00000229349
HGNC:155	ACTG1P10	NG_003039	ENSG00000231340
HGNC:37651	ACTG1P11	NG_004636	ENSG00000229465
HGNC:44496	ACTG1P12		ENSG00000226642
HGNC:49058	ACTG1P13		ENSG00000241305
HGNC:49751	ACTG1P14	NG_023870	ENSG00000230581
HGNC:51495	ACTG1P15		ENSG00000259904
HGNC:51496	ACTG1P16		ENSG00000260298
HGNC:51497	ACTG1P17		ENSG00000259315
HGNC:51498	ACTG1P18		ENSG00000218475
HGNC:51499	ACTG1P19		ENSG00000237999
HGNC:51500	ACTG1P20		ENSG00000241547
HGNC:51501	ACTG1P21		ENSG00000232672
HGNC:51502	ACTG1P22		ENSG00000271615
HGNC:51503	ACTG1P23		ENSG00000230362
HGNC:49661	ACTG1P24		ENSG00000226359
HGNC:54872	ACTG1P25	NR_002929	ENSG00000234996
HGNC:145	ACTG2	NM_001615	ENSG00000163017
HGNC:156	ACTL2		
HGNC:157	ACTL3		
HGNC:158	ACTL4		
HGNC:159	ACTL5		
HGNC:24124	ACTL6A	NM_004301	ENSG00000136518
HGNC:160	ACTL6B	NM_016188	ENSG00000077080
HGNC:161	ACTL7A	NM_006687	ENSG00000187003
HGNC:162	ACTL7B	NM_006686	ENSG00000148156
HGNC:24018	ACTL8	NM_030812	ENSG00000117148
HGNC:28494	ACTL9	NM_178525	ENSG00000181786
HGNC:16127	ACTL10		ENSG00000288649
HGNC:44626	ACTL11P		ENSG00000234667
HGNC:24758	ACTMAP	NM_198476	ENSG00000188493
HGNC:163	ACTN1	NM_001102	ENSG00000072110
HGNC:20131	ACTN1-DT		ENSG00000259062
HGNC:164	ACTN2	NM_001103	ENSG00000077522
HGNC:165	ACTN3	NM_001104	ENSG00000248746
HGNC:166	ACTN4		ENSG00000130402
HGNC:44028	ACTN4P1		ENSG00000213493
HGNC:44032	ACTN4P2		ENSG00000214141
HGNC:51621	ACTP1	NG_044542	ENSG00000229890
HGNC:167	ACTR1A		ENSG00000138107
HGNC:54703	ACTR1AP1	NG_021577	ENSG00000233370
HGNC:168	ACTR1B	NM_005735	ENSG00000115073
HGNC:169	ACTR2	NM_001005386	ENSG00000138071
HGNC:170	ACTR3	NM_005721	ENSG00000115091
HGNC:53965	ACTR3-AS1	NR_110174	
HGNC:17256	ACTR3B	NM_020445	ENSG00000133627
HGNC:37724	ACTR3BP1	NG_005799	ENSG00000270242
HGNC:38677	ACTR3BP2		ENSG00000226481
HGNC:38678	ACTR3BP3		ENSG00000260327
HGNC:38681	ACTR3BP4		ENSG00000249283
HGNC:38682	ACTR3BP5		ENSG00000227264
HGNC:38683	ACTR3BP6		ENSG00000280263
HGNC:54971	ACTR3BP7		ENSG00000226444
HGNC:37282	ACTR3C		ENSG00000106526
HGNC:31820	ACTR3P1		
HGNC:38676	ACTR3P2		ENSG00000232267
HGNC:38679	ACTR3P3		ENSG00000242573
HGNC:14671	ACTR5	NM_024855	ENSG00000101442
HGNC:24025	ACTR6	NM_022496	ENSG00000075089
HGNC:44210	ACTR6P1	NG_025147	ENSG00000248915
HGNC:14672	ACTR8	NM_022899	ENSG00000113812
HGNC:17372	ACTR10		ENSG00000131966
HGNC:24027	ACTRT1	NM_138289	ENSG00000123165
HGNC:55127	ACTRT1P1	NG_011795	ENSG00000235239
HGNC:24026	ACTRT2	NM_080431	ENSG00000169717
HGNC:24022	ACTRT3	NM_032487	ENSG00000184378
HGNC:171	ACVR1	NM_001105	ENSG00000115170
HGNC:172	ACVR1B	NM_020328	ENSG00000135503
HGNC:18123	ACVR1C	NM_145259	ENSG00000123612
HGNC:173	ACVR2A	NM_001616	ENSG00000121989
HGNC:174	ACVR2B	NM_001106	ENSG00000114739
HGNC:44161	ACVR2B-AS1	NR_028389	ENSG00000229589
HGNC:175	ACVRL1	NM_000020	ENSG00000139567
HGNC:176	ACVRLK2		
HGNC:177	ACY1	NM_000666	ENSG00000243989
HGNC:178	ACY1L		
HGNC:24104	ACY3	NM_080658	ENSG00000132744
HGNC:179	ACYP1		ENSG00000119640
HGNC:180	ACYP2		ENSG00000170634
HGNC:181	AD1		
HGNC:182	AD2		
HGNC:183	AD3		
HGNC:184	AD4		
HGNC:185	AD5		
HGNC:186	ADA	NM_000022	ENSG00000196839
HGNC:1839	ADA2		ENSG00000093072
HGNC:30713	ADAD1	NM_139243	ENSG00000164113
HGNC:44550	ADAD1P1		ENSG00000270367
HGNC:44552	ADAD1P2		ENSG00000267511
HGNC:30714	ADAD2	NM_139174	ENSG00000140955
HGNC:31853	ADAL	NM_001324366	ENSG00000168803
HGNC:187	ADAM1A	NG_001216	ENSG00000229186
HGNC:44366	ADAM1B	NG_024129	ENSG00000226469
HGNC:198	ADAM2	NM_001464	ENSG00000104755
HGNC:209	ADAM3A	NR_001569	ENSG00000197475
HGNC:210	ADAM3B	NG_001526	ENSG00000260089
HGNC:212	ADAM5	NR_001448	ENSG00000196115
HGNC:213	ADAM6	NR_002224	ENSG00000271968
HGNC:214	ADAM7	NM_003817	ENSG00000069206
HGNC:56152	ADAM7-AS1	NR_125808	ENSG00000253535
HGNC:56153	ADAM7-AS2	NR_125809	ENSG00000253643
HGNC:215	ADAM8	NM_001109	ENSG00000151651
HGNC:216	ADAM9		ENSG00000168615
HGNC:188	ADAM10	NM_001110	ENSG00000137845
HGNC:189	ADAM11	NM_002390	ENSG00000073670
HGNC:190	ADAM12		ENSG00000148848
HGNC:43841	ADAM12-OT1		
HGNC:193	ADAM15	NM_003815	ENSG00000143537
HGNC:195	ADAM17		ENSG00000151694
HGNC:196	ADAM18	NM_014237	ENSG00000168619
HGNC:197	ADAM19	NM_033274	ENSG00000135074
HGNC:199	ADAM20		ENSG00000134007
HGNC:20102	ADAM20P1	NR_037933	ENSG00000259158
HGNC:43901	ADAM20P2		ENSG00000248574
HGNC:43902	ADAM20P3		ENSG00000249162
HGNC:200	ADAM21		ENSG00000139985
HGNC:19822	ADAM21P1	NG_002467	ENSG00000235812
HGNC:201	ADAM22	NM_021723	ENSG00000008277
HGNC:202	ADAM23	NM_003812	ENSG00000114948
HGNC:203	ADAM24P		ENSG00000214607
HGNC:206	ADAM28	NM_021778	ENSG00000042980
HGNC:207	ADAM29		ENSG00000168594
HGNC:208	ADAM30	NM_021794	ENSG00000134249
HGNC:15479	ADAM32	NM_145004	ENSG00000197140
HGNC:15478	ADAM33	NM_025220	ENSG00000149451
HGNC:16299	ADAMDEC1	NM_014479	ENSG00000134028
HGNC:217	ADAMTS1		ENSG00000154734
HGNC:218	ADAMTS2	NM_014244	ENSG00000087116
HGNC:219	ADAMTS3		ENSG00000156140
HGNC:220	ADAMTS4	NM_005099	ENSG00000158859
HGNC:221	ADAMTS5		ENSG00000154736
HGNC:222	ADAMTS6	NM_197941	ENSG00000049192
HGNC:223	ADAMTS7	NM_014272	ENSG00000136378
HGNC:49407	ADAMTS7P1		ENSG00000274376
HGNC:49408	ADAMTS7P2		
HGNC:49409	ADAMTS7P3		ENSG00000261143
HGNC:49410	ADAMTS7P4		ENSG00000218052
HGNC:224	ADAMTS8	NM_007037	ENSG00000134917
HGNC:13202	ADAMTS9		ENSG00000163638
HGNC:40625	ADAMTS9-AS1	NR_110150	ENSG00000241158
HGNC:42435	ADAMTS9-AS2	NR_038264	ENSG00000241684
HGNC:13201	ADAMTS10	NM_030957	ENSG00000142303
HGNC:14605	ADAMTS12	NM_030955	ENSG00000151388
HGNC:1366	ADAMTS13	NM_139025	ENSG00000160323
HGNC:14899	ADAMTS14	NM_080722	ENSG00000138316
HGNC:16305	ADAMTS15	NM_139055	ENSG00000166106
HGNC:17108	ADAMTS16	NM_139056	ENSG00000145536
HGNC:55548	ADAMTS16-DT	NR_109915	ENSG00000250579
HGNC:17109	ADAMTS17	NM_139057	ENSG00000140470
HGNC:17110	ADAMTS18		ENSG00000140873
HGNC:17111	ADAMTS19	NM_133638	ENSG00000145808
HGNC:40797	ADAMTS19-AS1	NR_125748	ENSG00000249421
HGNC:17178	ADAMTS20	NM_025003	ENSG00000173157
HGNC:16662	ADAMTS21		
HGNC:14632	ADAMTSL1		ENSG00000178031
HGNC:14631	ADAMTSL2	NM_014694	ENSG00000197859
HGNC:14633	ADAMTSL3	NM_207517	ENSG00000156218
HGNC:19706	ADAMTSL4	NM_019032	ENSG00000143382
HGNC:32041	ADAMTSL4-AS1		ENSG00000203804
HGNC:40895	ADAMTSL4-AS2		ENSG00000237781
HGNC:27912	ADAMTSL5	NM_213604	ENSG00000185761
HGNC:16486	ADAP1	NM_006869	ENSG00000105963
HGNC:16487	ADAP2	NM_018404	ENSG00000184060
HGNC:225	ADAR	NM_001111	ENSG00000160710
HGNC:226	ADARB1	NM_015833	ENSG00000197381
HGNC:227	ADARB2	NM_018702	ENSG00000185736
HGNC:23299	ADARB2-AS1	NR_033387	ENSG00000205696
HGNC:228	ADAT1	NM_012091	ENSG00000065457
HGNC:21172	ADAT2	NM_001286259	ENSG00000189007
HGNC:25151	ADAT3	NM_138422	ENSG00000213638
HGNC:19038	ADCK1	NM_020421	ENSG00000063761
HGNC:19039	ADCK2	NM_052853	ENSG00000133597
HGNC:21738	ADCK5	NM_174922	ENSG00000173137
HGNC:229	ADCP1		
HGNC:230	ADCP2		
HGNC:231	ADCR		
HGNC:232	ADCY1	NM_021116	ENSG00000164742
HGNC:233	ADCY2	NM_020546	ENSG00000078295
HGNC:234	ADCY3		ENSG00000138031
HGNC:235	ADCY4		ENSG00000129467
HGNC:236	ADCY5	NM_183357	ENSG00000173175
HGNC:237	ADCY6	NM_020983	ENSG00000174233
HGNC:53332	ADCY6-DT		ENSG00000257660
HGNC:238	ADCY7		ENSG00000121281
HGNC:239	ADCY8		ENSG00000155897
HGNC:240	ADCY9		ENSG00000162104
HGNC:21285	ADCY10	NM_018417	ENSG00000143199
HGNC:44143	ADCY10P1	NR_026938	ENSG00000161912
HGNC:241	ADCYAP1	NM_001117	ENSG00000141433
HGNC:242	ADCYAP1R1	NM_001118	ENSG00000078549
HGNC:243	ADD1	NM_014189	ENSG00000087274
HGNC:244	ADD2	NM_001617	ENSG00000075340
HGNC:245	ADD3	NM_019903	ENSG00000148700
HGNC:48682	ADD3-AS1	NR_038943	ENSG00000203876
HGNC:246	ADDL		
HGNC:247	ADFN		
