"","Chr","Start","ID","Gene","bp_cum"
"129",1,3778558,"ENSG00000130764","LRRC47",129
"130",1,3785008,"ENSG00000272153","AL365330.1",130
"131",1,3812081,"ENSG00000116198","CEP104",131
"132",1,3857267,"ENSG00000169598","DFFB",132
"133",1,3889125,"ENSG00000198912","C1orf174",133
"134",1,3900372,"ENSG00000236423","LINC01134",134
"135",1,3940565,"ENSG00000233304","LINC01346",135
"136",1,3944547,"ENSG00000226374","LINC01345",136
"137",1,3976133,"ENSG00000284668","AL805961.1",137
"138",1,4012921,"ENSG00000284703","AL805961.2",138
"139",1,4412027,"ENSG00000235054","LINC01777",139
"140",1,4479131,"ENSG00000284694","AL355602.1",140
"141",1,4551735,"ENSG00000227169","Z98747.1",141
"142",1,4571481,"ENSG00000232596","LINC01646",142
"143",1,4654732,"ENSG00000196581","AJAP1",143
"144",1,4963954,"ENSG00000284739","BX005132.2",144
"145",1,4973381,"ENSG00000284674","BX005132.1",145
"146",1,5086459,"ENSG00000231510","AL691497.1",146
"147",1,5301928,"ENSG00000284616","AL139823.1",147
"148",1,5478736,"ENSG00000284692","Z98259.3",148
"149",1,5480787,"ENSG00000284666","Z98259.2",149
"150",1,5492978,"ENSG00000260972","Z98259.1",150
"151",1,5561709,"ENSG00000236948","AL365255.1",151
"152",1,5862811,"ENSG00000131697","NPHP4",152
"153",1,5991466,"ENSG00000069424","KCNAB2",153
"154",1,6101793,"ENSG00000116254","CHD5",154
"155",1,6181269,"ENSG00000116251","RPL22",155
"156",1,6204840,"ENSG00000226944","AL031847.1",156
"157",1,6205475,"ENSG00000158286","RNF207",157
"158",1,6221193,"ENSG00000116237","ICMT",158
"159",1,6236240,"ENSG00000225077","LINC00337",159
"160",1,6244192,"ENSG00000173673","HES3",160
"161",1,6247346,"ENSG00000158292","GPR153",161
"162",1,6264269,"ENSG00000097021","ACOT7",162
"163",1,6393555,"ENSG00000271746","AL031848.2",163
"164",1,6412418,"ENSG00000069812","HES2",164
"165",1,6424776,"ENSG00000187017","ESPN",165
"166",1,6443034,"ENSG00000231868","AL031848.1",166
"167",1,6461151,"ENSG00000215788","TNFRSF25",167
"168",1,6466092,"ENSG00000171680","PLEKHG5",168
"169",1,6521347,"ENSG00000162408","NOL9",169
"170",1,6555181,"ENSG00000173662","TAS1R1",170
"171",1,6580001,"ENSG00000204859","ZBTB48",171
"172",1,6590724,"ENSG00000162413","KLHL21",172
"173",1,6613685,"ENSG00000116273","PHF13",173
"174",1,6624866,"ENSG00000041988","THAP3",174
"175",1,6634168,"ENSG00000007923","DNAJC11",175
"176",1,6724637,"ENSG00000228750","LINC01672",176
"177",1,6767954,"ENSG00000284744","AL591163.1",177
"178",1,6783892,"ENSG00000237436","CAMTA1-DT",178
"179",1,6785324,"ENSG00000171735","CAMTA1",179
"180",1,7008376,"ENSG00000237365","AL512330.1",180
"181",1,7382487,"ENSG00000237728","Z97987.1",181
"182",1,7441096,"ENSG00000225126","AL365194.1",182
"183",1,7693124,"ENSG00000270171","AL359881.3",183
"184",1,7698303,"ENSG00000270035","AL359881.2",184
"185",1,7700704,"ENSG00000269978","AL359881.1",185
"186",1,7771269,"ENSG00000049245","VAMP3",186
"187",1,7784320,"ENSG00000049246","PER3",187
"188",1,7810242,"ENSG00000236266","Z98884.1",188
"189",1,7843083,"ENSG00000049247","UTS2",189
"190",1,7915894,"ENSG00000049249","TNFRSF9",190
"191",1,7954291,"ENSG00000116288","PARK7",191
"192",1,7991134,"ENSG00000284747","AL034417.4",192
"193",1,7998187,"ENSG00000284716","AL034417.3",193
"194",1,8004404,"ENSG00000116285","ERRFI1",194
"195",1,8026738,"ENSG00000238290","AL034417.2",195
"196",1,8202429,"ENSG00000227634","LINC01714",196
"197",1,8218190,"ENSG00000233645","AL358876.2",197
"198",1,8317826,"ENSG00000162426","SLC45A1",198
"199",1,8352397,"ENSG00000142599","RERE",199
"200",1,8424645,"ENSG00000232912","AL096855.1",200
"201",1,8805860,"ENSG00000228423","AL357552.2",201
"202",1,8861000,"ENSG00000074800","ENO1",202
"203",1,8878835,"ENSG00000230679","ENO1-AS1",203
"204",1,8945867,"ENSG00000131686","CA6",204
"205",1,9003300,"ENSG00000197241","SLC2A7",205
"206",1,9035107,"ENSG00000142583","SLC2A5",206
"207",1,9100305,"ENSG00000180758","GPR157",207
"208",1,9148011,"ENSG00000228526","MIR34AHG",208
"209",1,9182004,"ENSG00000234546","LINC01759",209
"210",1,9234775,"ENSG00000049239","H6PD",210
"211",1,9292880,"ENSG00000171621","SPSB1",211
"212",1,9421098,"ENSG00000284652","BX323043.1",212
"213",1,9425094,"ENSG00000284693","AL928921.2",213
"214",1,9501092,"ENSG00000235263","AL928921.1",214
"215",1,9539482,"ENSG00000171612","SLC25A33",215
"216",1,9588922,"ENSG00000188807","TMEM201",216
"217",1,9651732,"ENSG00000171608","PIK3CD",217
"218",1,9652610,"ENSG00000179840","PIK3CD-AS1",218
"219",1,9672426,"ENSG00000231789","PIK3CD-AS2",219
"220",1,9729026,"ENSG00000171603","CLSTN1",220
"221",1,9848276,"ENSG00000178585","CTNNBIP1",221
"222",1,9848318,"ENSG00000223989","AL357140.1",222
"223",1,9922113,"ENSG00000162441","LZIC",223
"224",1,9943428,"ENSG00000173614","NMNAT1",224
"225",1,9997206,"ENSG00000162444","RBP7",225
"226",1,10032832,"ENSG00000130939","UBE4B",226
"227",1,10210805,"ENSG00000054523","KIF1B",227
"228",1,10381906,"ENSG00000284735","AL139424.3",228
"229",1,10395416,"ENSG00000284642","AL139424.2",229
"230",1,10398592,"ENSG00000142657","PGD",230
"231",1,10429881,"ENSG00000271989","AL139424.1",231
"232",1,10430102,"ENSG00000251503","CENPS-CORT",232
"233",1,10430443,"ENSG00000175279","CENPS",233
"234",1,10449719,"ENSG00000241563","CORT",234
"235",1,10456522,"ENSG00000160049","DFFA",235
"236",1,10458555,"ENSG00000203469","AL354956.1",236
"237",1,10472288,"ENSG00000142655","PEX14",237
"238",1,10636604,"ENSG00000130940","CASZ1",238
"239",1,10639241,"ENSG00000272078","AL139423.1",239
"240",1,10946471,"ENSG00000175262","C1orf127",240
"241",1,11012344,"ENSG00000120948","TARDBP",241
"242",1,11012662,"ENSG00000277726","AL109811.4",242
"243",1,11026523,"ENSG00000009724","MASP2",243
"244",1,11029659,"ENSG00000271895","AL109811.3",244
"245",1,11054584,"ENSG00000116649","SRM",245
"246",1,11066618,"ENSG00000171824","EXOSC10",246
"247",1,11068471,"ENSG00000226849","AL109811.1",247
"248",1,11099675,"ENSG00000230337","AL109811.2",248
"249",1,11106535,"ENSG00000198793","MTOR",249
"250",1,11143898,"ENSG00000225602","MTOR-AS1",250
"251",1,11189341,"ENSG00000171819","ANGPTL7",251
"252",1,11273206,"ENSG00000120942","UBIAD1",252
"253",1,11311734,"ENSG00000284646","AL031291.1",253
"254",1,11479166,"ENSG00000204624","DISP3",254
"255",1,11609531,"ENSG00000235643","LINC01647",255
"256",1,11623558,"ENSG00000284708","AL031731.1",256
"257",1,11637018,"ENSG00000116661","FBXO2",257
"258",1,11654375,"ENSG00000132879","FBXO44",258
"259",1,11664124,"ENSG00000116663","FBXO6",259
"260",1,11674480,"ENSG00000116670","MAD2L2",260
"261",1,11691729,"ENSG00000162490","DRAXIN",261
"262",1,11736084,"ENSG00000177674","AGTRAP",262
"263",1,11761787,"ENSG00000215910","C1orf167",263
"264",1,11777077,"ENSG00000177553","AL953897.1",264
"265",1,11785723,"ENSG00000177000","MTHFR",265
"266",1,11806096,"ENSG00000011021","CLCN6",266
"267",1,11841017,"ENSG00000242349","NPPA-AS1",267
"268",1,11845709,"ENSG00000175206","NPPA",268
"269",1,11857464,"ENSG00000120937","NPPB",269
"270",1,11919591,"ENSG00000116685","KIAA2013",270
"271",1,11934205,"ENSG00000083444","PLOD1",271
"272",1,11980181,"ENSG00000116688","MFN2",272
"273",1,12019466,"ENSG00000116691","MIIP",273
"274",1,12063377,"ENSG00000120949","TNFRSF8",274
"275",1,12167003,"ENSG00000028137","TNFRSF1B",275
"276",1,12230032,"ENSG00000048707","VPS13D",276
"277",1,12527724,"ENSG00000229484","AC243836.1",277
"278",1,12567910,"ENSG00000162496","DHRS3",278
"279",1,12618900,"ENSG00000272482","AC254633.1",279
"280",1,12644547,"ENSG00000204518","AADACL4",280
"281",1,12716115,"ENSG00000188984","AADACL3",281
"282",1,12746215,"ENSG00000157330","C1orf158",282
"283",1,12774841,"ENSG00000116726","PRAMEF12",283
"284",1,12791397,"ENSG00000116721","PRAMEF1",284
"285",1,12822686,"ENSG00000228338","LINC01784",285
"286",1,12824605,"ENSG00000239810","PRAMEF11",286
"287",1,12847408,"ENSG00000179172","HNRNPCL1",287
"288",1,12857086,"ENSG00000120952","PRAMEF2",288
"289",1,12879224,"ENSG00000243073","PRAMEF4",289
"290",1,12892896,"ENSG00000187545","PRAMEF10",290
"291",1,12916610,"ENSG00000204510","PRAMEF7",291
"292",1,12938472,"ENSG00000232423","PRAMEF6",292
"293",1,13049476,"ENSG00000274764","PRAMEF27",293
"294",1,13060869,"ENSG00000277058","HNRNPCL3",294
"295",1,13068677,"ENSG00000229571","PRAMEF25",295
"296",1,13115496,"ENSG00000275774","HNRNPCL2",296
"297",1,13146981,"ENSG00000233336","AC245056.1",297
"298",1,13148905,"ENSG00000280267","PRAMEF26",298
"299",1,13164586,"ENSG00000179412","HNRNPCL4",299
"300",1,13172455,"ENSG00000204505","PRAMEF9",300
"301",1,13196330,"ENSG00000279169","PRAMEF13",301
"302",1,13222705,"ENSG00000279804","PRAMEF18",302
"303",1,13254212,"ENSG00000270601","PRAMEF5",303
"304",1,13281035,"ENSG00000182330","PRAMEF8",304
"305",1,13303539,"ENSG00000237700","PRAMEF33",305
"306",1,13315581,"ENSG00000204501","PRAMEF15",306
"307",1,13324039,"ENSG00000228229","AC243961.1",307
"308",1,13342034,"ENSG00000204481","PRAMEF14",308
"309",1,13369067,"ENSG00000204480","PRAMEF19",309
"310",1,13389632,"ENSG00000204479","PRAMEF17",310
"311",1,13410450,"ENSG00000204478","PRAMEF20",311
"312",1,13474977,"ENSG00000162494","LRRC38",312
"313",1,13513220,"ENSG00000259961","AL354712.1",313
"314",1,13583465,"ENSG00000162493","PDPN",314
"315",1,13657311,"ENSG00000237445","AL359771.1",315
"316",1,13700198,"ENSG00000116731","PRDM2",316
"317",1,13892792,"ENSG00000189337","KAZN",317
"318",1,14221891,"ENSG00000231606","AL357873.1",318
"319",1,14348955,"ENSG00000234593","KAZN-AS1",319
"320",1,15111815,"ENSG00000175147","TMEM51-AS1",320
"321",1,15152532,"ENSG00000171729","TMEM51",321
"322",1,15164344,"ENSG00000204464","C1orf195",322
"323",1,15247272,"ENSG00000142621","FHAD1",323
"324",1,15326680,"ENSG00000233485","AL031283.2",324
"325",1,15334166,"ENSG00000236045","AL031283.3",325
"326",1,15402979,"ENSG00000228140","AL031283.1",326
"327",1,15409895,"ENSG00000142634","EFHD2",327
"328",1,15438439,"ENSG00000162438","CTRC",328
"329",1,15456728,"ENSG00000142615","CELA2A",329
"330",1,15465909,"ENSG00000215704","CELA2B",330
"331",1,15490832,"ENSG00000132906","CASP9",331
"332",1,15526813,"ENSG00000116138","DNAJC16",332
"333",1,15565611,"ENSG00000272510","AL121992.3",333
"334",1,15572353,"ENSG00000116771","AGMAT",334
"335",1,15586136,"ENSG00000237301","AL121992.1",335
"336",1,15617500,"ENSG00000197312","DDI2",336
"337",1,15659869,"ENSG00000215695","RSC1A1",337
"338",1,15682873,"ENSG00000271742","AL121992.2",338
"339",1,15684332,"ENSG00000116786","PLEKHM2",339
"340",1,15720312,"ENSG00000237938","AL450998.3",340
"341",1,15736405,"ENSG00000162461","SLC25A34",341
"342",1,15740051,"ENSG00000224459","SLC25A34-AS1",342
"343",1,15742422,"ENSG00000162460","TMEM82",343
"344",1,15756607,"ENSG00000162458","FBLIM1",344
"345",1,15807169,"ENSG00000233954","UQCRHL",345
"346",1,15834474,"ENSG00000179743","AL450998.2",346
"347",1,15847864,"ENSG00000065526","SPEN",347
"348",1,15941869,"ENSG00000116809","ZBTB17",348
"349",1,16004236,"ENSG00000183888","SRARP",349
"350",1,16006160,"ENSG00000233078","AL355994.3",350
"351",1,16014028,"ENSG00000173641","HSPB7",351
"352",1,16018875,"ENSG00000186510","CLCNKA",352
"353",1,16043736,"ENSG00000184908","CLCNKB",353
"354",1,16057769,"ENSG00000185519","FAM131C",354
"355",1,16124337,"ENSG00000142627","EPHA2",355
"356",1,16155211,"ENSG00000227959","AL451042.2",356
"357",1,16159266,"ENSG00000224621","AL451042.1",357
"358",1,16197854,"ENSG00000234166","ARHGEF19-AS1",358
"359",1,16197854,"ENSG00000142632","ARHGEF19",359
"360",1,16231700,"ENSG00000132881","CPLANE2",360
"361",1,16246839,"ENSG00000037637","FBXO42",361
"362",1,16352575,"ENSG00000055070","SZRD1",362
"363",1,16387117,"ENSG00000187144","SPATA21",363
"364",1,16440672,"ENSG00000157191","NECAP2",364
"365",1,16460948,"ENSG00000226029","LINC01772",365
"366",1,16514645,"ENSG00000261135","AL137802.2",366
"367",1,16520694,"ENSG00000224174","AL137802.1",367
"368",1,16533886,"ENSG00000233421","LINC01783",368
"369",1,16562319,"ENSG00000219481","NBPF1",369
"370",1,16617391,"ENSG00000271732","AL137798.1",370
"371",1,16656879,"ENSG00000282143","AL137798.2",371
"372",1,16701546,"ENSG00000279151","AL021920.1",372
"373",1,16739938,"ENSG00000282740","AL021920.3",373
"374",1,16740273,"ENSG00000058453","CROCC",374
"375",1,16851257,"ENSG00000223643","BX284668.1",375
"376",1,16870945,"ENSG00000228549","BX284668.2",376
"377",1,16888538,"ENSG00000238142","BX284668.5",377
"378",1,16904339,"ENSG00000272426","BX284668.6",378
"379",1,16974502,"ENSG00000117122","MFAP2",379
"380",1,16978926,"ENSG00000226526","AL049569.1",380
"381",1,16985958,"ENSG00000159363","ATP13A2",381
"382",1,17018722,"ENSG00000117118","SDHB",382
"383",1,17066761,"ENSG00000117115","PADI2",383
"384",1,17189783,"ENSG00000204362","AL590644.1",384
"385",1,17193232,"ENSG00000282843","AL590644.3",385
"386",1,17205126,"ENSG00000142623","PADI1",386
"387",1,17249098,"ENSG00000142619","PADI3",387
"388",1,17308195,"ENSG00000159339","PADI4",388
"389",1,17372196,"ENSG00000276747","PADI6",389
"390",1,17406760,"ENSG00000227751","AC004824.1",390
"391",1,17406760,"ENSG00000179051","RCC2",391
"392",1,17539835,"ENSG00000074964","ARHGEF10L",392
"393",1,17717687,"ENSG00000236648","AL136529.1",393
"394",1,17755313,"ENSG00000117148","ACTL8",394
"395",1,18015712,"ENSG00000284653","AL357509.1",395
"396",1,18065657,"ENSG00000261781","LINC01654",396
"397",1,18107746,"ENSG00000117154","IGSF21",397
"398",1,18166929,"ENSG00000230035","IGSF21-AS1",398
"399",1,18385829,"ENSG00000225387","AL591896.1",399
"400",1,18480982,"ENSG00000179023","KLHDC7A",400
"401",1,18631006,"ENSG00000009709","PAX7",401
"402",1,18839599,"ENSG00000179002","TAS1R2",402
"403",1,18849273,"ENSG00000255275","AL080251.1",403
"404",1,18871430,"ENSG00000159423","ALDH4A1",404
"405",1,18904281,"ENSG00000169991","IFFO2",405
"406",1,19074506,"ENSG00000127481","UBR4",406
"407",1,19210501,"ENSG00000230424","AL035413.1",407
"408",1,19215664,"ENSG00000127463","EMC1",408
"409",1,19251539,"ENSG00000053372","MRTO4",409
"410",1,19282558,"ENSG00000162482","AKR7A3",410
"411",1,19303965,"ENSG00000053371","AKR7A2",411
"412",1,19312326,"ENSG00000040487","PQLC2",412
"413",1,19338776,"ENSG00000077549","CAPZB",413
"414",1,19591802,"ENSG00000235185","AL031727.2",414
"415",1,19596977,"ENSG00000173436","MINOS1",415
"416",1,19596979,"ENSG00000158747","NBL1",416
"417",1,19597067,"ENSG00000270136","MINOS1-NBL1",417
"418",1,19665287,"ENSG00000158748","HTR6",418
"419",1,19682213,"ENSG00000162542","TMCO4",419
"420",1,19814029,"ENSG00000178828","RNF186",420
"421",1,19814367,"ENSG00000235434","AL391883.1",421
"422",1,19882513,"ENSG00000169914","OTUD3",422
"423",1,19920009,"ENSG00000188784","PLA2G2E",423
"424",1,19975431,"ENSG00000188257","PLA2G2A",424
"425",1,20028179,"ENSG00000127472","PLA2G5",425
"426",1,20111939,"ENSG00000117215","PLA2G2D",426
"427",1,20139326,"ENSG00000158786","PLA2G2F",427
"428",1,20154338,"ENSG00000227066","Z98257.1",428
"429",1,20161253,"ENSG00000187980","PLA2G2C",429
"430",1,20184242,"ENSG00000225986","UBXN10-AS1",430
"431",1,20186085,"ENSG00000162543","UBXN10",431
"432",1,20243095,"ENSG00000228105","LINC01757",432
"433",1,20272018,"ENSG00000284710","Z98257.2",433
"434",1,20290919,"ENSG00000158816","VWA5B1",434
"435",1,20294211,"ENSG00000226664","AL020998.1",435
"436",1,20360579,"ENSG00000236963","LINC01141",436
"437",1,20412304,"ENSG00000226487","AL139254.1",437
"438",1,20476222,"ENSG00000284641","AL139254.2",438
"439",1,20478779,"ENSG00000284743","AL139254.3",439
"440",1,20482391,"ENSG00000162545","CAMK2N1",440
"441",1,20499448,"ENSG00000090432","MUL1",441
"442",1,20552439,"ENSG00000183114","FAM43B",442
"443",1,20588948,"ENSG00000158825","CDA",443
"444",1,20633455,"ENSG00000158828","PINK1",444
"445",1,20642657,"ENSG00000117242","PINK1-AS",445
"446",1,20651767,"ENSG00000244038","DDOST",446
"447",1,20664014,"ENSG00000117245","KIF17",447
"448",1,20719732,"ENSG00000189410","SH2D5",448
"449",1,20732880,"ENSG00000233069","AL663074.1",449
"450",1,20742661,"ENSG00000127483","HP1BP3",450
"451",1,20806292,"ENSG00000075151","EIF4G3",451
"452",1,21217247,"ENSG00000117298","ECE1",452
"453",1,21266082,"ENSG00000236936","AL031005.1",453
"454",1,21293290,"ENSG00000231105","AL031728.1",454
"455",1,21415898,"ENSG00000236009","AL592309.2",455
"456",1,21440128,"ENSG00000142794","NBPF3",456
"457",1,21509372,"ENSG00000162551","ALPL",457
"458",1,21586472,"ENSG00000233431","AL359815.1",458
"459",1,21596215,"ENSG00000076864","RAP1GAP",459
"460",1,21678298,"ENSG00000090686","USP48",460
"461",1,21812265,"ENSG00000187942","LDLRAD2",461
"462",1,21822245,"ENSG00000142798","HSPG2",462
"463",1,21977021,"ENSG00000219073","CELA3B",463
"464",1,22001656,"ENSG00000142789","CELA3A",464
"465",1,22023990,"ENSG00000228397","LINC01635",465
"466",1,22052627,"ENSG00000070831","CDC42",466
"467",1,22100613,"ENSG00000271840","AL031281.2",467
"468",1,22117305,"ENSG00000162552","WNT4",468
"469",1,22451851,"ENSG00000184677","ZBTB40",469
"470",1,22563564,"ENSG00000070886","EPHA8",470
"471",1,22636506,"ENSG00000173372","C1QA",471
"472",1,22643630,"ENSG00000159189","C1QC",472
"473",1,22652762,"ENSG00000173369","C1QB",473
"474",1,22710839,"ENSG00000133216","EPHB2",474
"475",1,22835713,"ENSG00000225952","AL512444.1",475
"476",1,22953043,"ENSG00000215906","LACTBL1",476
"477",1,23010834,"ENSG00000227868","TEX46",477
"478",1,23019443,"ENSG00000004487","KDM1A",478
"479",1,23020147,"ENSG00000240553","AL031428.1",479
"480",1,23084023,"ENSG00000169641","LUZP1",480
"481",1,23191895,"ENSG00000179546","HTR1D",481
"482",1,23281309,"ENSG00000261326","LINC01355",482
"483",1,23297797,"ENSG00000284726","AL109936.6",483
"484",1,23303771,"ENSG00000125944","HNRNPR",484
"485",1,23359448,"ENSG00000125945","ZNF436",485
"486",1,23368997,"ENSG00000249087","ZNF436-AS1",486
"487",1,23378380,"ENSG00000271420","AL109936.2",487
"488",1,23381061,"ENSG00000204219","TCEA3",488
"489",1,23428563,"ENSG00000088280","ASAP3",489
"490",1,23506430,"ENSG00000007968","E2F2",490
"491",1,23549139,"ENSG00000235052","AL021154.1",491
"492",1,23557918,"ENSG00000117318","ID3",492
"493",1,23581495,"ENSG00000197880","MDS2",493
"494",1,23691742,"ENSG00000142676","RPL11",494
"495",1,23743155,"ENSG00000011007","ELOA",495
"496",1,23760382,"ENSG00000236810","ELOA-AS1",496
"497",1,23778405,"ENSG00000057757","PITHD1",497
"498",1,23790970,"ENSG00000011009","LYPLA2",498
"499",1,23795599,"ENSG00000117308","GALE",499
"500",1,23801885,"ENSG00000117305","HMGCL",500
"501",1,23845077,"ENSG00000179163","FUCA1",501
"502",1,23870526,"ENSG00000188822","CNR2",502
"503",1,23907111,"ENSG00000232557","AL590609.3",503
"504",1,23959109,"ENSG00000189266","PNRC2",504
"505",1,23964804,"ENSG00000188529","SRSF10",505
"506",1,24040835,"ENSG00000225315","AL591178.1",506
"507",1,24056035,"ENSG00000142661","MYOM3",507
