Gene,fullName,Annotation
Tfam,"transcription factor A, mitochon",S11vsS15
Tfdp1,predicted gene 7390; transcripti,S11vsS15
Tgif1,TGFB-induced factor homeobox,S11vsS15
Trp53,transformation related protein 5,S11vsS15
Zbtb16,zinc finger and BTB domain cont,S11vsS15
Zfp101,zinc finger protein 101,S11vsS15
Zfp334,zinc finger protein 334,S11vsS15
Zfp454,zinc finger protein 454,S11vsS15
Zfp54,hypothetical protein LOC100044,S11vsS15
Zfp568,zinc finger protein 568,S11vsS15
Zfp58,zinc finger protein 58,S11vsS15
Zfp607,zinc finger proten 607,S11vsS15
Zfp617,zinc finger protein 617,S11vsS15
Zfp708,zinc finger protein 708,S11vsS15
Zfp820,hypothetical protein LOC100044,S11vsS15
Zfp936,RIKEN cDNA I1C0022H11 gene; s,S11vsS15
Zik1,zinc finger protein interacting wi,S11vsS15
Zim1,"zinc finger, imprinted 1",S11vsS15
Zscan12,zinc finger and SCAN domain con,S11vsS15
Zscan4-ps2,,S11vsS15
Foxd1,forkhead box D1,W11vsS11
Neurod1,neurogenic differentiation 1; neu ,W11vsS11
Nr2f1,"nuclear receptor subfamily 2, gro ",W11vsS11
Prrx1,paired related homeobox 1,W11vsS11
Satb2,special AT-rich sequence binding,W11vsS11
Adnp2,ADNP homeobox 2,W11vsW15
Alx1,ALX homeobox 1,W11vsW15
Arid3a,AT rich interactive domain 3A (B,W11vsW15
Atf1,predicted gene 1862; activating,W11vsW15
Creb5,RIKEN cDNA 9430076C15 gene; c,W11vsW15
Csda,cold shock domain protein A,W11vsW15
E2f1,E2F transcription factor 1,W11vsW15
E2f3,E2F transcription factor 3,W11vsW15
E2f4,E2F transcription factor 4,W11vsW15
E2f5,E2F transcription factor 5,W11vsW15
E2f6,E2F transcription factor 6,W11vsW15
E2f7,E2F transcription factor 7,W11vsW15
E2f8,E2F transcription factor 8,W11vsW15
Elk3,"ELK3, member of ETS oncogene",W11vsW15
Erf,Ets2 repressor factor,W11vsW15
Erg,avian erythroblastosis virus E-26,W11vsW15
Ets1,"E26 avian leukemia oncogene 1,",W11vsW15
Etv4,ets variant gene 4 (E1A enhance,W11vsW15
Etv5,ets variant gene 5,W11vsW15
Etv6,ets variant gene 6 (TEL oncogene,W11vsW15
Fli1,Friend leukemia integration 1,W11vsW15
Foxc1,forkhead box C1,W11vsW15
Foxc2,forkhead box C2,W11vsW15
Foxd1,forkhead box D1,W11vsW15
Foxf1a,forkhead box F1a,W11vsW15
Foxf2,forkhead box F2,W11vsW15
Foxm1,forkhead box M1; RIKEN cDNA 4,W11vsW15
Foxp2,forkhead box P2,W11vsW15
Foxp4,forkhead box P4,W11vsW15
Gabpa,"GA repeat binding protein, alpha",W11vsW15
Gata3,GATA binding protein 3,W11vsW15
Gatad2a,similar to Transcriptional repress,W11vsW15
Gli1,GLI-Kruppel family member GLI1,W11vsW15
Gli2,GLI-Kruppel family member GLI2,W11vsW15
Glis2,GLIS family zinc finger 2,W11vsW15
Gzf1,GDNF-inducible zinc finger prote,W11vsW15
Hes1,hairy and enhancer of split 1 (Dr,W11vsW15
Hesx1,homeo box gene expressed in ES,W11vsW15
Heyl,hairy/enhancer-of-split related w,W11vsW15
Hmx1,H6 homeo box 1,W11vsW15
Homez,homeodomain leucine zipper-en,W11vsW15
Hoxa1,homeo box A1,W11vsW15
Hsf1,heat shock factor 1,W11vsW15
I1C0022H1,RIKEN cDNA I1C0022H11 gene; s,W11vsW15
Isl1,"ISL1 transcription factor, LIM/ho",W11vsW15
Jarid2,"jumonji, AT rich interactive dom",W11vsW15
Lbh,limb-bud and heart,W11vsW15
Lef1,lymphoid enhancer binding facto,W11vsW15
Mef2c,myocyte enhancer factor 2C,W11vsW15
Meis2,Meis homeobox 2,W11vsW15
Mkx,mohawk homeobox,W11vsW15
Mta1,similar to metastasis-associated,W11vsW15
Mta2,metastasis-associated gene fami,W11vsW15
Mtf1,metal response element binding,W11vsW15
Myb,myeloblastosis oncogene,W11vsW15
Myc,myelocytomatosis oncogene,W11vsW15
Mycn,v-myc myelocytomatosis viral re,W11vsW15
Neurod1,neurogenic differentiation 1; neu,W11vsW15
NeuroD4,neurogenic differentiation 4,W11vsW15
Nfatc3,nuclear factor of activated T-cell,W11vsW15
Nfe2l2,"nuclear factor, erythroid derived",W11vsW15
Nfkb1,nuclear factor of kappa light poly,W11vsW15
Nfya,nuclear transcription factor-Y alp,W11vsW15
Nfyc,nuclear transcription factor-Y ga,W11vsW15
Nr2f1,"nuclear receptor subfamily 2, gro",W11vsW15
Nr2f2,similar to COUP-TFI; nuclear rece,W11vsW15
Nr2f6,"nuclear receptor subfamily 2, gro",W11vsW15
Patz1,POZ (BTB) and AT hook containin,W11vsW15
Pax3,paired box gene 3,W11vsW15
Pbx2,pre B-cell leukemia transcription,W11vsW15
Plagl2,pleiomorphic adenoma gene-like,W11vsW15
Pou4f1,"POU domain, class 4, transcriptio",W11vsW15
Preb,prolactin regulatory element bin,W11vsW15
Prox1,prospero-related homeobox 1,W11vsW15
Prrx1,paired related homeobox 1,W11vsW15
Rara,"retinoic acid receptor, alpha",W11vsW15
Rest,RE1-silencing transcription facto,W11vsW15
Rex2,hypothetical protein LOC100048,W11vsW15
Rxra,retinoid X receptor alpha; similar,W11vsW15
Rxrg,retinoid X receptor gamma,W11vsW15
Sall4,sal-like 4 (Drosophila),W11vsW15
Six1,sine oculis-related homeobox 1 h,W11vsW15
Six2,similar to Homeobox protein SIX,W11vsW15
Six4,sine oculis-related homeobox 4 h,W11vsW15
Smad3,MAD homolog 3 (Drosophila),W11vsW15
Sox10,SRY-box containing gene 10,W11vsW15
Sox5,SRY-box containing gene 5,W11vsW15
Sox8,SRY-box containing gene 8,W11vsW15
Sox9,SRY-box containing gene 9,W11vsW15
Sp1,trans-acting transcription factor,W11vsW15
Tbx20,T-box 20,W11vsW15
Tcf3,transcription factor E2a,W11vsW15
Tcf7,"transcription factor 7, T-cell spec",W11vsW15
Tcfap2a,"transcription factor AP-2, alpha",W11vsW15
Tcfap2b,transcription factor AP-2 beta,W11vsW15
Tcfap2c,"transcription factor AP-2, gamm",W11vsW15
Tead2,TEA domain family member 2,W11vsW15
Tead3,TEA domain family member 3,W11vsW15
Tfdp1,predicted gene 7390; transcripti,W11vsW15
Tfdp2,transcription factor Dp 2,W11vsW15
Tgif1,TGFB-induced factor homeobox,W11vsW15
Trp53,transformation related protein 5,W11vsW15
Trps1,trichorhinophalangeal syndrome,W11vsW15
Twist1,twist homolog 1 (Drosophila),W11vsW15
Twist2,twist homolog 2 (Drosophila),W11vsW15
Ybx1,predicted gene 6540; predicted,W11vsW15
Zbtb16,zinc finger and BTB domain cont,W11vsW15
Zeb2,zinc finger E-box binding homeo,W11vsW15
Zfp101,zinc finger protein 101,W11vsW15
Zfp191,zinc finger protein 191,W11vsW15
Zfp334,zinc finger protein 334,W11vsW15
Zfp386,zinc finger protein 386 (Kruppel-,W11vsW15
Zfp566,zinc finger protein 566,W11vsW15
Zfp568,zinc finger protein 568,W11vsW15
Zfp58,zinc finger protein 58,W11vsW15
Zfp617,zinc finger protein 617,W11vsW15
Zfp69,zinc finger protein 69,W11vsW15
Zfp809,zinc finger protein 809,W11vsW15
Zfp820,hypothetical protein LOC100044,W11vsW15
Zfp931,RIKEN cDNA 2810021G02 gene,W11vsW15
Zscan12,zinc finger and SCAN domain con,W11vsW15
Zscan29,zinc finger SCAN domains 29,W11vsW15
Arntl,aryl hydrocarbon receptor nuclea ,S15vsW15
Bcl6,B-cell leukemia/lymphoma 6,S15vsW15
Cebpd,CCAAT/enhancer binding protein ,S15vsW15
Csda,cold shock domain protein A,S15vsW15
E2f3,E2F transcription factor 3,S15vsW15
E2f5,E2F transcription factor 5,S15vsW15
E2f7,E2F transcription factor 7,S15vsW15
E2f8,E2F transcription factor 8,S15vsW15
Elk3,"ELK3, member of ETS oncogene fa",S15vsW15
Ets1,"E26 avian leukemia oncogene 1, 5",S15vsW15
Etv5,ets variant gene 5,S15vsW15
Etv6,ets variant gene 6 (TEL oncogene),S15vsW15
Foxd3,forkhead box D3,S15vsW15
Foxm1,forkhead box M1; RIKEN cDNA 49 ,S15vsW15
Foxn2,forkhead box N2,S15vsW15
Foxo1,forkhead box O1,S15vsW15
Hdac1,similar to histone deacetylase HD ,S15vsW15
Hes1,hairy and enhancer of split 1 (Dro ,S15vsW15
Hey2,hairy/enhancer-of-split related w ,S15vsW15
Hsf1,heat shock factor 1,S15vsW15
Irf1,interferon regulatory factor 1,S15vsW15
Mef2c,myocyte enhancer factor 2C,S15vsW15
Mkl2,MKL/myocardin-like 2,S15vsW15
Myb,myeloblastosis oncogene,S15vsW15
Myc,myelocytomatosis oncogene,S15vsW15
Neurog3,neurogenin 3,S15vsW15
Nfe2l2,"nuclear factor, erythroid derived ",S15vsW15
Nfia,nuclear factor I/A,S15vsW15
Nfkb1,nuclear factor of kappa light poly ,S15vsW15
Nfyb,nuclear transcription factor-Y bet ,S15vsW15
Nfyc,nuclear transcription factor-Y gam,S15vsW15
Nr2f1,"nuclear receptor subfamily 2, gro ",S15vsW15
Nr2f2,similar to COUP-TFI; nuclear rece ,S15vsW15
Nr4a1,"nuclear receptor subfamily 4, gro ",S15vsW15
Plagl2,pleiomorphic adenoma gene-like ,S15vsW15
Rela,v-rel reticuloendotheliosis viral on,S15vsW15
Relb,avian reticuloendotheliosis viral ( ,S15vsW15
Rest,RE1-silencing transcription factor ,S15vsW15
Rex2,hypothetical protein LOC1000488,S15vsW15
Smad3,MAD homolog 3 (Drosophila),S15vsW15
Sox10,SRY-box containing gene 10,S15vsW15
Sox5,SRY-box containing gene 5,S15vsW15
Srf,serum response factor,S15vsW15
St18,suppression of tumorigenicity 18 ,S15vsW15
Tcf3,transcription factor E2a,S15vsW15
Tcfap2a,"transcription factor AP-2, alpha",S15vsW15
Tgif1,TGFB-induced factor homeobox 1 ,S15vsW15
Trp53,transformation related protein 53,S15vsW15
Zfp238,zinc finger protein 238,S15vsW15
Zfp568,zinc finger protein 568,S15vsW15
Aff1,"AF4/FMR2 family, member 1",S15vsS11
Ahr,aryl-hydrocarbon receptor,S15vsS11
Arntl,aryl hydrocarbon receptor nucle,S15vsS11
Atf3,activating transcription factor 3,S15vsS11
Bcl6,B-cell leukemia/lymphoma 6,S15vsS11
Cebpa,CCAAT/enhancer binding protein,S15vsS11
Cebpd,CCAAT/enhancer binding protein,S15vsS11
Csrnp3,cysteine-serine-rich nuclear prot,S15vsS11
Cux1,cut-like homeobox 1,S15vsS11
Cux2,cut-like homeobox 2,S15vsS11
Dach1,dachshund 1 (Drosophila),S15vsS11
Dlx5,distal-less homeobox 5,S15vsS11
Dlx6,distal-less homeobox 6,S15vsS11
Ebf1,early B-cell factor 1,S15vsS11
Ebf3,early B-cell factor 3,S15vsS11
Ebf4,early B-cell factor 4,S15vsS11
Egr1,early growth response 1,S15vsS11
Egr2,early growth response 2,S15vsS11
Esrrg,estrogen-related receptor gamm,S15vsS11
Ets2,"E26 avian leukemia oncogene 2,",S15vsS11
Etv1,ets variant gene 1,S15vsS11
Fos,FBJ osteosarcoma oncogene,S15vsS11
Foxj2,forkhead box J2,S15vsS11
Foxj3,forkhead box J3,S15vsS11
Foxo1,forkhead box O1,S15vsS11
Foxo3,forkhead box O3,S15vsS11
Foxo6,forkhead box O6,S15vsS11
Gatad2b,GATA zinc finger domain contain,S15vsS11
Hey2,hairy/enhancer-of-split related w,S15vsS11
Hoxa2,homeo box A2,S15vsS11
Hoxa3,homeo box A3,S15vsS11
Hoxa4,homeo box A4,S15vsS11
Hoxa5,homeo box A5,S15vsS11
Hoxa6,homeo box A6,S15vsS11
Hoxb5,homeo box B5,S15vsS11
Hoxb6,homeo box B6,S15vsS11
Hoxb8,homeo box B8,S15vsS11
Hoxc4,homeo box C4,S15vsS11
Hoxc5,homeo box C5,S15vsS11
Hoxd3,homeo box D3,S15vsS11
Irf1,interferon regulatory factor 1,S15vsS11
Klf12,Kruppel-like factor 12,S15vsS11
Klf2,Kruppel-like factor 2 (lung),S15vsS11
Klf4,Kruppel-like factor 4 (gut),S15vsS11
Klf6,Kruppel-like factor 6,S15vsS11
Klf7,Kruppel-like factor 7 (ubiquitous,S15vsS11
Meis1,Meis homeobox 1,S15vsS11
Mxi1,Max interacting protein 1,S15vsS11
Myt1,myelin transcription factor 1,S15vsS11
Myt1l,myelin transcription factor 1-like,S15vsS11
Neurog3,neurogenin 3,S15vsS11
Nfatc1,nuclear factor of activated T-cell,S15vsS11
Nfe2l3,"nuclear factor, erythroid derived",S15vsS11
Nfia,nuclear factor I/A,S15vsS11
Nfib,nuclear factor I/B,S15vsS11
Nfil3,similar to NFIL3/E4BP4 transcrip,S15vsS11
Nfix,nuclear factor I/X,S15vsS11
Nr1d2,"nuclear receptor subfamily 1, gro",S15vsS11
Nr1h4,"nuclear receptor subfamily 1, gro",S15vsS11
Nr2c2,"nuclear receptor subfamily 2, gro",S15vsS11
Nr3c1,"nuclear receptor subfamily 3, gro",S15vsS11
Nr4a1,"nuclear receptor subfamily 4, gro",S15vsS11
Nr4a2,"nuclear receptor subfamily 4, gro",S15vsS11
Phox2a,paired-like homeobox 2a,S15vsS11
Pknox1,Pbx/knotted 1 homeobox,S15vsS11
Rarb,"retinoic acid receptor, beta",S15vsS11
Rbak,RB-associated KRAB repressor,S15vsS11
Relb,avian reticuloendotheliosis viral,S15vsS11
Rora,RAR-related orphan receptor alp,S15vsS11
Rorc,RAR-related orphan receptor ga,S15vsS11
Satb1,special AT-rich sequence binding,S15vsS11
Satb2,special AT-rich sequence binding,S15vsS11
Sox6,SRY-box containing gene 6,S15vsS11
Spen,"SPEN homolog, transcriptional re",S15vsS11
St18,suppression of tumorigenicity 18,S15vsS11
Stat3,similar to Stat3B; signal transduc,S15vsS11
Stat5b,signal transducer and activator o,S15vsS11
Tbx3,T-box 3,S15vsS11
Tcf4,transcription factor 4,S15vsS11
Tcf7l2,"transcription factor 7-like 2, T-ce",S15vsS11
Thra,thyroid hormone receptor alpha,S15vsS11
Tshz1,teashirt zinc finger family memb,S15vsS11
Zeb1,zinc finger E-box binding homeo,S15vsS11
Zfhx4,zinc finger homeodomain 4,S15vsS11
Zfp263,zinc finger protein 263,S15vsS11
Zfp445,zinc finger protein 445,S15vsS11
Zfp612,zinc finger protein 612,S15vsS11
Zfp788,zinc finger protein 788,S15vsS11
Zfp941,cDNA sequence BC066028,S15vsS11
Zhx3,zinc fingers and homeoboxes 3,S15vsS11
Zkscan14,zinc finger with KRAB and SCAN,S15vsS11
Zkscan2,zinc finger with KRAB and SCAN,S15vsS11
Csrnp3,cysteine-serine-rich nuclear proteAhr,W15vsS15
Cux2,cut-like homeobox 2,W15vsS15
Ebf1,early B-cell factor 1,W15vsS15
Etv1,ets variant gene 1,W15vsS15
Hlf,hepatic leukemia factor,W15vsS15
Hoxb5,homeo box B5,W15vsS15
Hoxb6,homeo boxB6,W15vsS15
Hoxc4,homeo box C4,W15vsS15
Jazf1,JAZF zinc finger 1,W15vsS15
Klf7,Kruppel-like factor 7 (ubiquitous) ,W15vsS15
Meis1,Meis homeobox 1,W15vsS15
Meis3,Meis homeobox 3,W15vsS15
Myt1l,myelin transcription factor 1-like ,W15vsS15
Onecut2,"one cut domain, family member 2",W15vsS15
Pbx3,similar to PBX3a; pre B-cell leuke ,W15vsS15
Pgr,progesterone receptor,W15vsS15
Tcf7l2,"transcription factor 7-like 2, T-cell",W15vsS15
Thra,thyroid hormone receptor alpha; ,W15vsS15
Trps1,trichorhinophalan,W15vsS15
Tshz3,teashirt zinc finger family membe ,W15vsS15
Zfp40,zinc finger protein 40,W15vsS15
Zfp52,zinc finger protein 52,W15vsS15
Zfp57,zinc finger protein 57,W15vsS15
Zfp60,similar to Zinc finger protein,W15vsS15
Zfp78,zinc finger protein 78,W15vsS15
Zfp811,zinc finger protein 811,W15vsS15
Zfp9,zinc finger protein 9,W15vsS15
Zfp941,cDNA sequence BC066028,W15vsS15
Ahr,aryl-hydrocarbon receptor,W15vsW11
Ar,androgen receptor,W15vsW11
Atf2,activating transcription factor 2;,W15vsW11
Atf6,activating transcription factor 6,W15vsW11
Atf7,activating transcription factor 7,W15vsW11
Carf,calcium response factor,W15vsW11
Cebpa,CCAAT/enhancer binding protein,W15vsW11
Clock,circadian locomoter output cycle,W15vsW11
Crebl2,cAMP responsive element bindin,W15vsW11
Csrnp3,cysteine-serine-rich nuclear prot,W15vsW11
Cux2,cut-like homeobox 2,W15vsW11
Dach1,dachshund 1 (Drosophila),W15vsW11
Dlx3,distal-less homeobox 3,W15vsW11
Ebf1,early B-cell factor 1,W15vsW11
Ebf3,early B-cell factor 3,W15vsW11
Ebf4,early B-cell factor 4,W15vsW11
Esrrg,estrogen-related receptor gamm,W15vsW11
Ets2,"E26 avian leukemia oncogene 2,",W15vsW11
Etv1,ets variant gene 1,W15vsW11
Foxj2,forkhead box J2,W15vsW11
Foxn3,forkhead box N3,W15vsW11
Foxo1,forkhead box O1,W15vsW11
Foxo3,forkhead box O3,W15vsW11
Hey2,hairy/enhancer-of-split related w,W15vsW11
Hivep2,human immunodeficiency virus t,W15vsW11
Hlf,hepatic leukemia factor,W15vsW11
Hoxa2,homeo box A2,W15vsW11
Hoxa3,homeo box A3,W15vsW11
Hoxa4,homeo box A4,W15vsW11
Hoxa5,homeo box A5,W15vsW11
Hoxa6,homeo box A6,W15vsW11
Hoxb5,homeo box B5,W15vsW11
Hoxb6,homeo box B6,W15vsW11
Hoxc4,homeo box C4,W15vsW11
Hoxc5,homeo box C5,W15vsW11
Hoxd3,homeo box D3,W15vsW11
Hoxd4,homeo box D4,W15vsW11
Irf2,interferon regulatory factor 2,W15vsW11
Jazf1,JAZF zinc finger 1,W15vsW11
Klf7,Kruppel-like factor 7 (ubiquitous,W15vsW11
Mafg,similar to mafG; v-maf musculoa,W15vsW11
Mef2a,similar to Myocyte enhancer fac,W15vsW11
Meis1,Meis homeobox 1,W15vsW11
Mycl1,v-myc myelocytomatosis viral on,W15vsW11
Myt1,myelin transcription factor 1,W15vsW11
Myt1l,myelin transcription factor 1-like,W15vsW11
Nfatc1,nuclear factor of activated T-cell,W15vsW11
Nfe2l3,"nuclear factor, erythroid derived",W15vsW11
Nfia,nuclear factor I/A,W15vsW11
Nfib,nuclear factor I/B,W15vsW11
Nfil3,similar to NFIL3/E4BP4 transcrip,W15vsW11
Nfix,nuclear factor I/X,W15vsW11
Nr1d2,"nuclear receptor subfamily 1, gro",W15vsW11
Nr2c2,"nuclear receptor subfamily 2, gro",W15vsW11
Nr3c1,"nuclear receptor subfamily 3, gro",W15vsW11
Nr4a1,"nuclear receptor subfamily 4, gro",W15vsW11
Nr6a1,"nuclear receptor subfamily 6, gro",W15vsW11
Onecut2,"one cut domain, family member",W15vsW11
Pbx3,similar to PBX3a; pre B-cell leuke,W15vsW11
Pgr,progesterone receptor,W15vsW11
Phox2a,paired-like homeobox 2a,W15vsW11
Pknox1,Pbx/knotted 1 homeobox,W15vsW11
Rarb,"retinoic acid receptor, beta",W15vsW11
Rora,RAR-related orphan receptor alp,W15vsW11
Rorc,RAR-related orphan receptor ga,W15vsW11
Runx1,runt related transcription factor,W15vsW11
Satb2,special AT-rich sequence binding,W15vsW11
Smad9,MAD homolog 9 (Drosophila),W15vsW11
St18,suppression of tumorigenicity 18,W15vsW11
Stat2,signal transducer and activator o,W15vsW11
Stat3,similar to Stat3B; signal transduc,W15vsW11
Stat5b,signal transducer and activator o,W15vsW11
Tbx3,T-box 3,W15vsW11
Tcf4,transcription factor 4,W15vsW11
Thra,thyroid hormone receptor alpha,W15vsW11
Tshz1,teashirt zinc finger family memb,W15vsW11
Tshz3,teashirt zinc finger family memb,W15vsW11
Zeb1,zinc finger E-box binding homeo,W15vsW11
Zfhx2,zinc finger homeobox 2; similar t,W15vsW11
Zfhx4,zinc finger homeodomain 4,W15vsW11
Zfp40,zinc finger protein 40,W15vsW11
Zfp445,zinc finger protein 445,W15vsW11
Zfp551,zinc fingr protein 551,W15vsW11
Zfp57,zinc finger protein 57,W15vsW11
Zfp59,zinc finger protein 59; predicted,W15vsW11
Zfp78,zinc finger protein 78,W15vsW11
Zfp788,zinc finger protein 788,W15vsW11
Zfp811,zinc finger protein 811,W15vsW11
Zfp9,zinc finger protein 9,W15vsW11
Zfp941,cDNA sequence BC066028,W15vsW11
Zhx3,zinc fingers and homeoboxes 3,W15vsW11
Zkscan2,zinc finger with KRAB and SCAN,W15vsW11
Ascl1,achaete-scute complex homolog,S11vsC11
Arntl,aryl hydrocarbon receptor nuclea ,S11vsC11
Ahr,aryl-hydrocarbon receptor,S11vsC11
Atoh1,atonal homolog 1 (Drosophila),S11vsC11
Creb3,cAMP responsive element binding,S11vsC11
Crem,cAMP responsive element modul ,S11vsC11
Ctnnb1,catenin (cadherin associated prot ,S11vsC11
Dlx1,distal-less homeobox 1,S11vsC11
Dlx2,distal-less homeobox 2,S11vsC11
Dlx5,distal-less homeobox 5,S11vsC11
Ets1,"E26 avian leukemia oncogene 1, 5",S11vsC11
Elf2,E74-like factor 2,S11vsC11
Ebf3,early B-cell factor 3,S11vsC11
Etv1,ets variant gene 1,S11vsC11
Etv5,ets variant gene 5,S11vsC11
Foxd3,forkhead box D3,S11vsC11
Foxn2,forkhead box N2,S11vsC11
Foxo1,forkhead box O1,S11vsC11
Gzf1,GDNF-inducible zinc finger protei ,S11vsC11
Glis2,GLIS family zinc finger 2,S11vsC11
Hes1,hairy and enhancer of split 1 (Dro ,S11vsC11
Hey2,hairy/enhancer-of-split related w ,S11vsC11
Heyl,hairy/enhancer-of-split related w ,S11vsC11
Hand2,heart and neural crest derivatives ,S11vsC11
Hoxb2,homeo box B2,S11vsC11
Hoxb4,homeo box B4,S11vsC11
Hoxb5,homeo box B5,S11vsC11
Hoxd1,homeo box D1,S11vsC11
Hoxd3,homeo box D3,S11vsC11
Hivep2,human immunodeficiency virus ty,S11vsC11
Irf2,interferon regulatory factor 2,S11vsC11
Irf6,interferon regulatory factor 6,S11vsC11
Jarid2,"jumonji, AT rich interactive doma ",S11vsC11
Jun,Jun oncogene,S11vsC11
Klf7,Kruppel-like factor 7 (ubiquitous) ,S11vsC11
Lbh,limb-bud and heart,S11vsC11
Lef1,lymphoid enhancer binding factor,S11vsC11
Smad1,MAD homolog 1 (Drosophila),S11vsC11
Smad2,MAD homolog 2 (Drosophila),S11vsC11
Mitf,microphthalmia-associated transc,S11vsC11
Myt1,myelin transcription factor 1,S11vsC11
Myt1l,myelin transcription factor 1-like ,S11vsC11
Myc,myelocytomatosis oncogene,S11vsC11
Mef2c,myocyte enhancer factor 2C,S11vsC11
Notch1,Notch gene homolog 1 (Drosophil,S11vsC11
Nr4a1,"nuclear receptor subfamily 4, gro ",S11vsC11
Nfyb,nuclear transcription factor-Y bet ,S11vsC11
Onecut2,"one cut domain, family member 2",S11vsC11
Pax3,paired box gene 3,S11vsC11
Phox2a,paired-like homeobox 2a,S11vsC11
Phox2b,paired-like homeobox 2b,S11vsC11
Pou4f1,"POU domain, class 4, transcriptio ",S11vsC11
Pou4f2,"POU domain, class 4, transcriptio ",S11vsC11
Patz1,POZ (BTB) and AT hook containing,S11vsC11
Duxbl,predicted gene 10394; predicted ,S11vsC11
Cphx,predicted gene 2135; predicted g ,S11vsC11
Gm239,predicted gene 239,S11vsC11
Tfdp1,predicted gene 7390; transcriptio ,S11vsC11
Preb,prolactin regulatory element bind,S11vsC11
Pa2g4,proliferation-associated 2G4; pre ,S11vsC11
Prox1,prospero-related homeobox 1,S11vsC11
Nkap,reproductive homeobox 3B; UPF3,S11vsC11
Rcor2,REST corepressor 2,S11vsC11
Rara,"retinoic acid receptor, alpha",S11vsC11
Rarb,"retinoic acid receptor, beta",S11vsC11
Creb5,RIKEN cDNA 9430076C15 gene; c ,S11vsC11
Etv2,similar to ETS related protein 71; ,S11vsC11
Hdac1,similar to histone deacetylase HD ,S11vsC11
Mta1,similar to metastasis-associated p,S11vsC11
Satb1,special AT-rich sequence binding ,S11vsC11
Sox10,SRY-box containing gene 10,S11vsC11
Sox4,SRY-box containing gene 19; SRY- ,S11vsC11
Sox2,SRY-box containing gene 2,S11vsC11
Sox5,SRY-box containing gene 5,S11vsC11
Sox8,SRY-box containing gene 8,S11vsC11
St18,suppression of tumorigenicity 18 ,S11vsC11
Tbx2,T-box 2,S11vsC11
Tbx20,T-box 20,S11vsC11
Tbx3,T-box 3,S11vsC11
Tshz1,teashirt zinc finger family membe ,S11vsC11
Tcf25,transcription factor 25 (basic helix,S11vsC11
Tcf4,transcription factor 4,S11vsC11
Tcfap2b,transcription factor AP-2 beta,S11vsC11
Tcfap2a,"transcription factor AP-2, alpha",S11vsC11
